,class,country,countrycode,dead_during_wave,population,si_integral_during_wave,t0_10_dead,tests_during_wave,wave,wave_end,wave_start,class_coarse,si_integral,last_dead_per_10k,last_tests_per_10k,si_response_time,c1_response_time,c2_response_time,c3_response_time,c4_response_time,c5_response_time,c6_response_time,c7_response_time,c8_response_time,h2_response_time,h3_response_time,testing_response_time_1,testing_response_time_10,testing_response_time_100,testing_response_time_1000
113,2.0,Guam,GUM,131.0,167294.0,22969.065000000002,2020-08-28,,1.0,2021-03-02,2020-03-16,EPI_FIRST_WAVE,27385.58,8.009850921132855,,-161.0,-165.0,-161.0,-161.0,-161.0,-139.0,-13.0,,,-113.0,-87.0,,,,
114,3.0,Guyana,GUY,163.0,782766.0,21571.97,2020-05-07,,1.0,2021-01-05,2020-03-30,EPI_SECOND_WAVE,31588.385000000002,2.951073500892987,,-34.0,-52.0,-40.0,-34.0,-34.0,,-34.0,-34.0,-41.0,334.0,-56.0,,,,
115,3.0,Guyana,GUY,67.0,782766.0,5023.439999999998,2021-01-29,,2.0,2021-04-01,2021-01-05,EPI_SECOND_WAVE,31588.385000000002,2.951073500892987,,-34.0,-52.0,-40.0,-34.0,-34.0,,-34.0,-34.0,-41.0,334.0,-56.0,,,,
116,3.0,Honduras,HND,2859.0,9746117.0,23187.04,2020-04-02,,1.0,2020-11-24,2020-01-09,EPI_SECOND_WAVE,38745.325,4.718802370215749,,-17.0,-20.0,-13.0,-20.0,-17.0,-17.0,-17.0,-17.0,-12.0,397.0,,,,,
117,3.0,Honduras,HND,1740.0,9746117.0,10715.71,2020-11-25,,2.0,2021-04-01,2020-11-24,EPI_SECOND_WAVE,38745.325,4.718802370215749,,-17.0,-20.0,-13.0,-20.0,-17.0,-17.0,-17.0,-17.0,-12.0,397.0,,,,,
118,5.0,Croatia,HRV,104.0,4067500.0,7493.205000000003,2020-04-05,68840.91803278688,1.0,2020-06-08,2020-01-09,EPI_THIRD_WAVE,22745.64,14.669944683466502,3810.335586969883,-16.0,-23.0,-16.0,-26.0,-16.0,-15.0,-13.0,-13.0,-17.0,29.0,-62.0,-25.0,-10.0,31.0,199.0
119,5.0,Croatia,HRV,5295.0,4067500.0,10420.465,2020-07-09,1219563.0,2.0,2021-02-18,2020-06-08,EPI_THIRD_WAVE,22745.64,14.669944683466502,3810.335586969883,-16.0,-23.0,-16.0,-26.0,-16.0,-15.0,-13.0,-13.0,-17.0,29.0,-62.0,-25.0,-10.0,31.0,199.0
120,5.0,Croatia,HRV,568.0,4067500.0,1866.69,2021-02-20,,3.0,2021-04-01,2021-02-18,EPI_THIRD_WAVE,22745.64,14.669944683466502,3810.335586969883,-16.0,-23.0,-16.0,-26.0,-16.0,-15.0,-13.0,-13.0,-17.0,29.0,-62.0,-25.0,-10.0,31.0,199.0
121,4.0,Haiti,HTI,232.0,11263077.0,14129.029999999999,2020-05-06,,1.0,2020-11-03,2020-01-09,EPI_SECOND_WAVE,21715.605,0.222852067867422,,-48.0,-48.0,-48.0,-48.0,-48.0,-30.0,-48.0,-48.0,-17.0,279.0,279.0,,,,
122,4.0,Haiti,HTI,19.0,11263077.0,5501.77,2021-01-23,,2.0,2021-04-01,2020-11-03,EPI_SECOND_WAVE,21715.605,0.222852067867422,,-48.0,-48.0,-48.0,-48.0,-48.0,-30.0,-48.0,-48.0,-17.0,279.0,279.0,,,,
123,5.0,Hungary,HUN,572.0,9769949.0,7206.924999999999,2020-03-25,257881.2857142857,1.0,2020-06-22,2020-01-09,EPI_THIRD_WAVE,27643.245000000003,21.48936499054396,4256.231020243811,-9.0,-9.0,348.0,-14.0,230.0,,2.0,3.0,-9.0,,-57.0,-10.0,3.0,44.0,214.0
124,5.0,Hungary,HUN,11541.0,9769949.0,12377.975000000002,2020-06-30,2358942.0,2.0,2021-01-26,2020-06-22,EPI_THIRD_WAVE,27643.245000000003,21.48936499054396,4256.231020243811,-9.0,-9.0,348.0,-14.0,230.0,,2.0,3.0,-9.0,,-57.0,-10.0,3.0,44.0,214.0
125,5.0,Hungary,HUN,8882.0,9769949.0,4875.845,2021-01-27,,3.0,2021-04-01,2021-01-26,EPI_THIRD_WAVE,27643.245000000003,21.48936499054396,4256.231020243811,-9.0,-9.0,348.0,-14.0,230.0,,2.0,3.0,-9.0,,-57.0,-10.0,3.0,44.0,214.0
126,1.0,Indonesia,IDN,41035.0,270625568.0,24088.664999999997,2020-03-18,8544177.0,1.0,2021-04-01,2020-03-18,EPI_FIRST_WAVE,29887.620000000003,1.5170037444503397,313.74951238901417,20.0,-44.0,23.0,-15.0,20.0,,23.0,37.0,1.0,327.0,342.0,25.0,82.0,221.0,
127,2.0,Isle of Man,IMN,19.0,84584.0,,2020-04-22,,1.0,2021-04-01,2020-04-22,EPI_FIRST_WAVE,,3.4285444055613357,,,,,,,,,,,,,,,,
128,3.0,India,IND,155447.0,1366417754.0,25780.559999999998,2020-03-25,,1.0,2021-02-12,2020-02-20,EPI_SECOND_WAVE,33460.7,1.1923659475519373,1783.2975258604552,-5.0,-12.0,-4.0,-11.0,-6.0,-5.0,-3.0,-5.0,-3.0,15.0,-54.0,15.0,44.0,116.0,247.0
129,3.0,India,IND,7480.0,1366417754.0,2892.59,2021-02-13,,2.0,2021-04-01,2021-02-12,EPI_SECOND_WAVE,33460.7,1.1923659475519373,1783.2975258604552,-5.0,-12.0,-4.0,-11.0,-6.0,-5.0,-3.0,-5.0,-3.0,15.0,-54.0,15.0,44.0,116.0,247.0
