,COUNTRYCODE,COUNTRY,GOV_MAX_SI_DAYS_FROM_T0,CLASS_COARSE,POPULATION,EPI_CONFIRMED,EPI_CONFIRMED_PER_10K,EPI_DEAD,EPI_DEAD_PER_10K,T0_POP,T0_1_DEAD,T0_5_DEAD,T0_10_DEAD,EPI_DURATION_FIRST_WAVE,MAX_SI,DEAD_FIRST_WAVE,DEAD_SECOND_WAVE,DEAD_PEAK_1,DEAD_PEAK_1_PER_10k,DEAD_PEAK_2,DEAD_PEAK_2_PER_10k,C1_SCHOOL_CLOSING_AT_T0,C2_WORKPLACE_CLOSING_AT_T0,C3_CANCEL_PUBLIC_EVENTS_AT_T0,C4_RESTRICTIONS_ON_GATHERINGS_AT_T0,C5_CLOSE_PUBLIC_TRANSPORT_AT_T0,C6_STAY_AT_HOME_REQUIREMENTS_AT_T0,C7_RESTRICTIONS_ON_INTERNAL_MOVEMENT_AT_T0,C8_INTERNATIONAL_TRAVEL_CONTROLS_AT_T0,H2_TESTING_POLICY_AT_T0,H3_CONTACT_TRACING_AT_T0,SI_AT_T0,C1_SCHOOL_CLOSING_AT_PEAK_1,C2_WORKPLACE_CLOSING_AT_PEAK_1,C3_CANCEL_PUBLIC_EVENTS_AT_PEAK_1,C4_RESTRICTIONS_ON_GATHERINGS_AT_PEAK_1,C5_CLOSE_PUBLIC_TRANSPORT_AT_PEAK_1,C6_STAY_AT_HOME_REQUIREMENTS_AT_PEAK_1,C7_RESTRICTIONS_ON_INTERNAL_MOVEMENT_AT_PEAK_1,C8_INTERNATIONAL_TRAVEL_CONTROLS_AT_PEAK_1,H2_TESTING_POLICY_AT_PEAK_1,H3_CONTACT_TRACING_AT_PEAK_1,SI_AT_PEAK_1,C1_SCHOOL_CLOSING_DAYS_TO_THRESHOLD,C2_WORKPLACE_CLOSING_DAYS_TO_THRESHOLD,C3_CANCEL_PUBLIC_EVENTS_DAYS_TO_THRESHOLD,C4_RESTRICTIONS_ON_GATHERINGS_DAYS_TO_THRESHOLD,C5_CLOSE_PUBLIC_TRANSPORT_DAYS_TO_THRESHOLD,C6_STAY_AT_HOME_REQUIREMENTS_DAYS_TO_THRESHOLD,C7_RESTRICTIONS_ON_INTERNAL_MOVEMENT_DAYS_TO_THRESHOLD,C8_INTERNATIONAL_TRAVEL_CONTROLS_DAYS_TO_THRESHOLD,H2_TESTING_POLICY_DAYS_TO_THRESHOLD,H3_CONTACT_TRACING_DAYS_TO_THRESHOLD,SI_DAYS_TO_THRESHOLD,C1_SCHOOL_CLOSING_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C2_WORKPLACE_CLOSING_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C3_CANCEL_PUBLIC_EVENTS_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C4_RESTRICTIONS_ON_GATHERINGS_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C5_CLOSE_PUBLIC_TRANSPORT_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C6_STAY_AT_HOME_REQUIREMENTS_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C7_RESTRICTIONS_ON_INTERNAL_MOVEMENT_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C8_INTERNATIONAL_TRAVEL_CONTROLS_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,H2_TESTING_POLICY_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,H3_CONTACT_TRACING_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,SI_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,GOV_MAX_SI_DAYS_FROM_T0_POP,CLASS
10,AUS,Australia,,EPI_SECOND_WAVE,25364307.0,27264.0,10.748963099997173,898.0,0.35404081806768856,2020-03-13,2020-03-01,2020-03-16,2020-03-26,104,79.17,"2397   NaN
2643   NaN
Name: dead, dtype: float64",,16.74950804149126,0.006603574086014359,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,19.44,3.0,2.0,2.0,3.0,0.0,1.0,2.0,4.0,1.0,1.0,68.52,23,154,17,28,,32,18,19,57.0,-36.0,,25.0,0.0,84.0,64.0,0.0,43.0,83.0,82.0,44.0,26.0,0,155,4
11,AUT,Austria,,EPI_SECOND_WAVE,8877067.0,55983.0,63.06474875091063,864.0,0.9732944451134592,2020-03-07,2020-03-13,2020-03-20,2020-03-23,105,85.19,"2709   NaN
2843   NaN
Name: dead, dtype: float64",,18.328966461569273,0.020647547733467903,,,0.0,1.0,2.0,0.0,1.0,0.0,2.0,3.0,1.0,1.0,48.15,3.0,3.0,2.0,4.0,1.0,2.0,2.0,3.0,2.0,1.0,85.19,3,3,-2,3,,3,0,,77.0,17.0,3,49.0,29.0,91.0,47.0,0.0,46.0,41.0,0.0,12.0,72.0,38,3,3
12,AZE,Azerbaijan,,EPI_FIRST_WAVE,10023318.0,41982.0,41.88433410972295,609.0,0.6075832374070144,2020-03-22,2020-03-21,2020-04-01,2020-04-11,205,97.22,"2994   NaN
3206   NaN
Name: dead, dtype: float64",,7.957789275038561,0.00793927647016543,,,3.0,0.0,2.0,4.0,0.0,0.0,2.0,3.0,2.0,2.0,61.11,3.0,2.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,2.0,96.3,-18,10,-7,-7,92.0,10,-2,26,,-22.0,10,194.0,40.0,197.0,197.0,77.0,145.0,192.0,164.0,0.0,206.0,142,129,2
13,BDI,Burundi,,EPI_FIRST_WAVE,11530580.0,524.0,0.45444374870995213,1.0,0.0008672590624235728,2020-06-01,2020-04-15,,,136,13.89,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,13.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,13.89,,,,,,,,,,-14.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0,-24,2
14,BEL,Belgium,,EPI_SECOND_WAVE,11484055.0,162165.0,141.20883259441024,10191.0,8.87404318422369,2020-03-04,2020-03-10,2020-03-13,2020-03-15,125,81.48,"3478   NaN
3613   NaN
Name: dead, dtype: float64",,260.656814984136,0.22697280271135586,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,19.44,2.0,3.0,2.0,4.0,0.0,2.0,2.0,4.0,1.0,1.0,81.48,,8,4,8,,8,4,10,,-13.0,10,0.0,54.0,107.0,82.0,0.0,82.0,86.0,46.0,0.0,58.0,46,10,3
15,BEN,Benin,,EPI_FIRST_WAVE,11801151.0,2411.0,2.0430210578612207,41.0,0.03474237385827874,2020-04-27,2020-04-07,2020-06-13,2020-06-19,197,70.83,,,,,,,3.0,2.0,2.0,4.0,2.0,0.0,2.0,2.0,1.0,2.0,70.83,2.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,2.0,41.67,-8,,-21,-8,-8.0,,-8,40,,-31.0,,42.0,0.0,77.0,42.0,64.0,0.0,42.0,1.0,0.0,198.0,0,-8,2
16,BES,"Bonaire, Sint Eustatius and Saba",,,,148.0,,2.0,,,2020-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
17,BFA,Burkina Faso,,EPI_SECOND_WAVE,20321378.0,2280.0,1.1219711576646032,63.0,0.031001834619679827,2020-03-26,2020-03-19,2020-03-29,2020-03-31,93,89.81,,,,,,,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,33.33,3.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,1.0,2.0,84.26,-3,,-7,,4.0,2,2,2,175.0,-10.0,4,77.0,0.0,93.0,0.0,43.0,72.0,45.0,84.0,0.0,94.0,43,46,4
18,BGD,Bangladesh,,EPI_FIRST_WAVE,163046161.0,378266.0,23.19993293187688,5524.0,0.33879975867693074,2020-04-15,2020-03-22,2020-03-26,2020-04-07,204,93.52,"4320   NaN
4537   NaN
Name: dead, dtype: float64",,42.84248760247518,0.00262762933758834,,,3.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,81.48,3.0,1.0,2.0,4.0,1.0,2.0,2.0,3.0,2.0,1.0,74.54,-6,-3,-1,-3,-3.0,-3,-3,,,,-1,205.0,143.0,205.0,189.0,70.0,173.0,189.0,0.0,0.0,0.0,154,20,2
19,BGR,Bulgaria,,EPI_FIRST_WAVE,6975761.0,24402.0,34.98112965739509,892.0,1.27871353390691,2020-03-15,2020-03-12,2020-03-29,2020-04-02,,73.15,,,,,,,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,26.85,,,,,,,,,,,,1,,1,1,,6,6,63,,48.0,,,,,,,,,,,,,9,1
20,BHR,Bahrain,,EPI_FIRST_WAVE,1641172.0,75287.0,458.73924244381453,273.0,1.6634453914641487,2020-02-26,2020-03-17,2020-04-08,2020-05-14,248,78.7,,,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,30.56,2.0,2.0,2.0,4.0,0.0,2.0,0.0,3.0,3.0,2.0,63.89,-20,9,1,5,,184,,,14.0,-23.0,,203.0,14.0,209.0,205.0,0.0,26.0,0.0,0.0,196.0,233.0,0,11,2
21,BHS,Bahamas,,,389482.0,5078.0,130.37829732824625,107.0,2.7472386400398476,2020-03-19,2020-04-02,2020-04-06,2020-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
22,BIH,Bosnia and Herzegovina,,EPI_FIRST_WAVE,3301000.0,29917.0,90.63011208724629,926.0,2.805210542259921,2020-03-16,2020-03-22,2020-03-29,2020-04-01,,92.59,"5255   NaN
5351   NaN
Name: dead, dtype: float64","5351   NaN
5475   NaN
Name: dead, dtype: float64",3.736123575604429,0.011318156848241227,9.527487243862378,0.028862427276165944,3.0,3.0,2.0,4.0,2.0,3.0,2.0,3.0,2.0,0.0,89.81,,,,,,,,,,,,-11,-5,-5,-4,-5.0,-2,-2,50,,,-2,,,,,,,,,,,,19,1
23,BLR,Belarus,,EPI_SECOND_WAVE,9466856.0,83534.0,88.23837607754888,896.0,0.9464599440405558,2020-03-20,2020-04-03,2020-04-05,2020-04-07,145,19.44,"5552   NaN
5699   NaN
Name: dead, dtype: float64",,5.724559861690794,0.0060469493374471885,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,13.89,1,,,,,,,,17.0,6.0,,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,125.0,0,1,3
24,BLZ,Belize,,,390353.0,2427.0,62.17449334320474,35.0,0.8966243374586592,2020-03-26,2020-04-06,2020-08-20,2020-08-25,,85.19,,,,,,,3.0,3.0,2.0,3.0,0.0,0.0,2.0,4.0,1.0,2.0,75.0,,,,,,,,,,,,-17,-5,-21,39,,21,-5,-17,,-12.0,39,,,,,,,,,,,,39,0
25,BMU,Bermuda,,,63918.0,184.0,28.786883194092432,9.0,1.4080540692762602,2020-03-20,2020-04-07,2020-04-15,,,96.3,,,,,,,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,96.3,,,,,,,,,,,,-18,-3,-3,-3,-19.0,-3,-3,-18,32.0,-69.0,-3,,,,,,,,,,,,-3,0
26,BOL,Bolivia,,EPI_FIRST_WAVE,11513100.0,138574.0,120.36202239188403,8308.0,7.216127715385083,2020-03-27,2020-03-30,2020-03-31,2020-04-04,214,96.3,"6173   NaN
6387   NaN
Name: dead, dtype: float64",,155.61864536988946,0.13516658881612204,,,3.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,0.0,0.0,93.52,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,1.0,89.81,-18,-8,-18,-13,-14.0,-13,-9,1,,,-9,215.0,96.0,215.0,210.0,211.0,210.0,206.0,154.0,0.0,0.0,205,1,2
27,BRA,Brazil,,EPI_FIRST_WAVE,211049527.0,5094982.0,241.4116758480108,150488.0,7.130459003587343,2020-03-22,2020-03-18,2020-03-20,2020-03-21,223,81.02,"6458   NaN
6674   NaN
Name: dead, dtype: float64",,1054.6346989840088,0.04997095771666945,,,3.0,3.0,2.0,3.0,0.0,1.0,2.0,2.0,1.0,0.0,60.65,3.0,3.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,0.0,72.69,-6,-1,-6,39,3.0,48,-1,9,,159.0,48,215.0,178.0,215.0,170.0,206.0,161.0,210.0,124.0,0.0,50.0,53,48,2
28,BRB,Barbados,,,287025.0,208.0,7.246755509101995,7.0,0.2438811950178556,2020-03-20,2020-04-06,2020-04-15,,,88.89,,,,,,,3.0,3.0,2.0,4.0,0.0,3.0,2.0,2.0,1.0,2.0,83.33,,,,,,,,,,,,-18,-9,-20,-3,,-3,-9,,,-17.0,-3,,,,,,,,,,,,2,0
29,BRN,Brunei,,,433285.0,146.0,3.369606609968035,3.0,0.06923849198564455,2020-03-11,2020-03-29,,,,58.33,,,,,,,3.0,0.0,2.0,3.0,0.0,0.0,0.0,4.0,2.0,1.0,52.78,,,,,,,,,,,,-18,,-16,,,,,-5,,,,,,,,,,,,,,,13,0
30,BTN,Bhutan,,,763092.0,309.0,4.049315154660251,0.0,0.0,2020-03-29,,,,,83.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
31,BWA,Botswana,,EPI_FIRST_WAVE,2303697.0,4520.0,19.62063587355455,18.0,0.07813527560265086,2020-04-10,2020-04-02,2020-08-27,2020-09-11,,86.11,,,,,,,3.0,3.0,2.0,4.0,1.0,2.0,2.0,4.0,1.0,1.0,86.11,,,,,,,,,,,,-14,0,-17,0,,0,0,-14,,165.0,0,,,,,,,,,,,,0,1
32,CAF,Central African Republic,,EPI_FIRST_WAVE,4745185.0,4854.0,10.22931666520905,62.0,0.13065876251400105,2020-04-28,2020-05-24,2020-06-07,2020-06-16,185,75.93,"7570   NaN
7711   NaN
Name: dead, dtype: float64",,2.1820148046099535,0.004598376679960747,,,3.0,2.0,2.0,3.0,0.0,2.0,2.0,4.0,1.0,1.0,75.93,3.0,0.0,2.0,3.0,0.0,1.0,2.0,4.0,1.0,1.0,64.81,-59,,-59,,,-16,-59,-59,,93.0,,158.0,0.0,165.0,0.0,0.0,34.0,95.0,95.0,0.0,49.0,0,-16,2
33,CAN,Canada,,EPI_SECOND_WAVE,37589262.0,178117.0,47.385075024883434,9585.0,2.5499303497897885,2020-03-15,2020-03-10,2020-03-18,2020-03-20,120,74.54,"7798   NaN
7980   NaN
Name: dead, dtype: float64",,162.23890615674054,0.04316097138505687,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.78,3.0,3.0,2.0,4.0,0.0,1.0,2.0,4.0,3.0,1.0,72.69,6,8,2,13,,,10,8,9.0,143.0,,108.0,96.0,112.0,101.0,0.0,0.0,104.0,106.0,105.0,0.0,0,22,3
34,CHE,Switzerland,,EPI_SECOND_WAVE,8574832.0,60230.0,70.24044319468882,1793.0,2.09100306571604,2020-03-05,2020-03-06,2020-03-14,2020-03-15,100,73.15,"8077   NaN
8204   NaN
Name: dead, dtype: float64",,42.43144645300069,0.04948370586502533,,,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,25.0,3.0,3.0,2.0,4.0,0.0,1.0,1.0,3.0,1.0,1.0,73.15,7,11,-10,11,,,,,97.0,66.0,,59.0,41.0,100.0,74.0,0.0,0.0,0.0,0.0,0.0,24.0,0,11,3
35,CHL,Chile,,EPI_FIRST_WAVE,18952038.0,481371.0,253.9943197665602,13318.0,7.027212587902156,2020-03-17,2020-03-23,2020-03-28,2020-04-01,222,89.35,"8308   NaN
8502   NaN
Name: dead, dtype: float64",,168.0523516400065,0.0886724433752225,,,3.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,51.85,3.0,3.0,2.0,4.0,0.0,3.0,2.0,3.0,2.0,2.0,78.24,-8,-7,-7,53,102.0,2,2,131,,7.0,102,212.0,156.0,211.0,87.0,102.0,202.0,202.0,73.0,0.0,197.0,91,102,2
36,CHN,China,,EPI_FIRST_WAVE,1397715000.0,90812.0,0.6497175747559409,4739.0,0.03390533835581646,2020-01-30,2020-01-11,2020-01-21,2020-01-22,64,81.94,"8534   NaN
8610   NaN
Name: dead, dtype: float64","8610   NaN
8658   NaN
Name: dead, dtype: float64",109.59592946410646,0.0007841078436169496,81.66665212670728,0.0005842868691164313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.78,3.0,3.0,2.0,4.0,2.0,3.0,2.0,0.0,1.0,2.0,75.46,15,15,11,11,12.0,21,12,,80.0,-6.0,45,48.0,48.0,52.0,52.0,51.0,42.0,51.0,0.0,0.0,65.0,18,75,2
37,CIV,Côte d'Ivoire,,EPI_FIRST_WAVE,25716544.0,20154.0,7.836978405807561,120.0,0.046662568656192685,2020-03-29,2020-03-30,2020-04-13,2020-04-21,204,80.56,,,,,,,3.0,2.0,2.0,3.0,1.0,1.0,2.0,4.0,2.0,1.0,80.56,0.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,57.41,-14,,-11,,,,-6,-8,,108.0,-6,61.0,0.0,134.0,0.0,0.0,0.0,114.0,101.0,0.0,79.0,45,-6,2
38,CMR,Cameroon,,EPI_FIRST_WAVE,25876380.0,21203.0,8.193959124112414,423.0,0.16346954249396553,2020-03-31,2020-03-25,2020-04-01,2020-04-09,211,71.3,"9027   NaN
9219   NaN
Name: dead, dtype: float64",,5.840728361451028,0.002257165941082573,,,3.0,2.0,2.0,3.0,1.0,0.0,1.0,3.0,0.0,1.0,57.41,2.0,0.0,2.0,3.0,1.0,0.0,1.0,4.0,2.0,1.0,60.19,-7,,-7,,,,,24,,,,75.0,0.0,201.0,0.0,0.0,0.0,0.0,131.0,0.0,0.0,0,24,2
39,COD,Democratic Republic of the Congo,,EPI_FIRST_WAVE,86790567.0,10850.0,1.2501358586584645,275.0,0.031685471071988734,2020-04-26,2020-03-22,2020-03-29,2020-04-02,215,80.56,"9247   NaN
9462   NaN
Name: dead, dtype: float64",,3.7414155010291315,0.0004310855004587228,,,3.0,2.0,2.0,0.0,1.0,0.0,2.0,3.0,1.0,1.0,58.33,3.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0,1.0,80.56,-3,,-3,,2.0,15,-4,2,,,15,144.0,0.0,125.0,0.0,120.0,113.0,209.0,144.0,0.0,0.0,107,15,2
40,COG,Republic of Congo,,EPI_SECOND_WAVE,5380508.0,5118.0,9.512112982640302,90.0,0.1672704510429127,2020-04-03,2020-04-01,2020-04-05,2020-05-02,153,97.22,,,,,,,3.0,3.0,2.0,3.0,2.0,3.0,2.0,4.0,1.0,1.0,97.22,2.0,2.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,1.0,73.15,-4,-4,-4,,-1.0,-4,-4,-11,,,-4,51.0,79.0,142.0,0.0,63.0,142.0,122.0,149.0,0.0,0.0,66,-1,4
41,COL,Colombia,,EPI_FIRST_WAVE,50339443.0,911316.0,181.03418426779177,27834.0,5.529262610235874,2020-03-24,2020-03-22,2020-03-27,2020-03-30,203,90.74,"9674   NaN
9893   NaN
Name: dead, dtype: float64",,318.2347397511402,0.06321777135101399,,,3.0,1.0,2.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,50.93,3.0,3.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,2.0,87.04,-6,3,-10,33,,3,3,3,,12.0,3,195.0,78.0,199.0,130.0,0.0,160.0,160.0,178.0,0.0,177.0,160,36,2
42,COM,Comoros,,EPI_FIRST_WAVE,850886.0,495.0,5.817465559428642,7.0,0.08226718972929394,2020-05-07,2020-05-05,2020-06-19,,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
