,class,country,countrycode,date_peak_1,date_peak_2,date_peak_3,dead_first_wave,duration_first_wave,duration_second_wave,duration_third_wave,first_wave_end,first_wave_start,last_confirmed,last_dead,last_tests,peak_1,peak_1_cfr,peak_1_dead_per_10k,peak_1_per_10k,peak_2,peak_2_cfr,peak_2_dead_per_10k,peak_2_per_10k,peak_3,peak_3_cfr,peak_3_dead_per_10k,peak_3_per_10k,population,second_wave_end,second_wave_start,t0,t0_10_dead,t0_1_dead,t0_5_dead,t0_relative,testing_available,tests_first_wave,third_wave_end,third_wave_start,dead_second_wave,tests_second_wave,dead_third_wave,tests_third_wave
24,0.0,Bermuda,BMU,,,,,,,,,,2374.0,24.0,,,,,,,,,,,,,,63918.0,,,2021-03-29,2020-12-28,2020-04-08,2020-04-15,2020-03-18,0.0,,,,,,,
25,4.0,Bolivia,BOL,2020-07-18,2021-01-27,,8900.0,324.0,159.0,,2020-11-22,2020-01-03,301831.0,12920.0,,1434.7142857142858,0.06270955516830597,0.04293246078690485,1.2461581031297269,2012.142857142857,0.028492112110676197,0.046034517202143646,1.7476985843455344,,,,,11513100.0,2021-03-26,2020-11-22,2020-04-29,2020-04-05,2020-03-31,2020-03-31,2020-03-28,1.0,,,,3207.0,525276.0,,
26,1.0,Brazil,BRA,,,,,,,,2021-04-30,2020-03-21,14521289.0,398185.0,,,,,,,,,,,,,,211049527.0,,,2020-03-24,2020-03-21,2020-03-18,2020-03-21,2020-03-24,0.0,,,,,,,
27,2.0,Barbados,BRB,2021-02-13,,,32.0,266.0,,,2021-03-23,2020-06-30,3838.0,44.0,,35.42857142857143,0.010799226825783681,0.014931501735787077,1.234337476825065,,,,,,,,,287025.0,,,2021-01-15,2021-01-26,2020-04-07,2020-04-16,2020-03-18,0.0,,,,,,,
28,0.0,Brunei,BRN,,,,,,,,,,224.0,3.0,,,,,,,,,,,,,,433285.0,,,,,2020-03-29,,2020-03-11,0.0,,,,,,,
29,0.0,Bhutan,BTN,,,,,,,,,,1066.0,1.0,,,,,,,,,,,,,,763092.0,,,2021-04-24,,2021-01-09,,2020-03-30,1.0,,,,,,,
30,2.0,Central African Republic,CAF,2020-06-03,,,62.0,229.0,,,2020-10-31,2020-03-16,6411.0,88.0,,59.57142857142857,0.012951541850220264,0.0009031711694516201,0.12554079255377518,,,,,,,,,4745185.0,,,2020-06-01,2020-06-17,2020-05-24,2020-06-07,2020-04-28,0.0,,,,,,,
31,4.0,Canada,CAN,2020-04-28,2021-01-06,,8436.0,136.0,310.0,,2020-06-24,2020-02-09,1202737.0,24117.0,,1704.7142857142858,0.08706458475950792,0.03823280321765448,0.45351097494659137,7480.0,0.018842495151113355,0.03238006793383858,1.989929996497404,,,,,37589262.0,2021-02-11,2020-06-24,2020-03-21,2020-03-21,2020-03-11,2020-03-18,2020-03-15,1.0,2612688.25,,,12473.0,20058472.0,,
32,4.0,Switzerland,CHE,2020-03-23,2020-10-28,,1721.0,149.0,334.0,,2020-05-31,2020-01-03,657593.0,10048.0,,936.8571428571429,0.05609805905449683,0.016493451000389445,1.0925661783894343,6924.571428571428,0.015451503303154012,0.02965489169766991,8.075460170614921,,,,,8574832.0,2021-02-15,2020-05-31,2020-03-12,2020-03-13,2020-03-05,2020-03-11,2020-03-01,1.0,,,,7670.0,4348748.0,,
33,3.0,Chile,CHL,2020-06-12,,,14863.0,319.0,164.0,,2020-11-17,2020-01-03,1190991.0,26247.0,,5114.285714285715,0.029438974748507606,0.09738869696833058,2.6985412937045163,,,,,,,,,18952038.0,2021-04-30,2020-11-17,2020-03-26,2020-04-01,2020-03-21,2020-03-28,2020-03-17,1.0,,,,,,,
34,2.0,China,CHN,2020-02-08,,,4645.0,141.0,,,2020-05-23,2020-01-03,103595.0,4857.0,,3253.8571428571427,0.054880739249288706,0.0005580536804713407,0.023279832747428075,,,,,,,,,1397715000.0,,,2020-01-25,2020-01-22,2020-01-12,2020-01-21,2020-01-30,0.0,,,,,,,
35,3.0,Côte d'Ivoire,CIV,2020-06-17,,,126.0,246.0,175.0,,2020-11-06,2020-03-05,45998.0,286.0,,240.57142857142858,0.006291301741305533,0.0004444054157732636,0.09354734002027201,,,,,,,,,25716544.0,2021-04-30,2020-11-06,2020-04-24,2020-04-21,2020-04-03,2020-04-14,2020-03-29,1.0,,,,,,,
36,1.0,Democratic Republic of the Congo,COD,,,,,,,,2021-04-30,2020-04-02,29812.0,763.0,,,,,,,,,,,,,,86790567.0,,,2020-05-11,2020-04-02,2020-03-22,2020-03-29,2020-04-26,1.0,,,,,,,
37,2.0,Colombia,COL,2021-01-16,,,60082.0,427.0,,,2021-03-05,2020-01-03,2824626.0,72725.0,,15964.857142857143,0.02754224721437649,0.06879013625274207,3.171440959896426,,,,,,,,,50339443.0,,,2020-04-03,2020-03-31,2020-03-23,2020-03-28,2020-03-24,1.0,,,,,,,
38,2.0,Comoros,COM,2021-01-17,,,139.0,173.0,,,2021-03-11,2020-09-19,3904.0,146.0,,61.0,0.04421320488935338,0.038615211505586944,0.7168997962124186,,,,,,,,,850886.0,,,2021-01-10,2021-01-03,2020-05-05,2020-06-19,2020-05-07,0.0,,,,,,,
39,3.0,Cape Verde,CPV,2020-10-09,,,104.0,249.0,147.0,,2020-12-04,2020-03-30,23181.0,213.0,,84.42857142857143,0.010438498046161957,0.025977095994461682,1.5352463732726855,,,,,,,,,549935.0,2021-04-30,2020-12-04,2020-06-26,2020-06-27,2020-03-28,2020-06-03,2020-03-21,1.0,,,,,,,
40,2.0,Costa Rica,CRI,2020-09-20,,,2803.0,423.0,,,2021-03-01,2020-01-03,245601.0,3202.0,,1200.7142857142858,0.014192521341424895,0.029151278635930727,2.3788009411164834,,,,,,,,,5047561.0,,,2020-05-30,2020-05-18,2020-03-19,2020-04-21,2020-03-13,1.0,,,,,,,
41,1.0,Cuba,CUB,,,,,,,,2021-04-30,2020-04-08,105661.0,632.0,,,,,,,,,,,,,,11333483.0,,,2020-04-20,2020-04-08,2020-03-19,2020-04-01,2020-03-26,1.0,,,,,,,
42,0.0,Cayman Islands,CYM,,,,,,,,,,542.0,2.0,,,,,,,,,,,,,,64948.0,,,,,2020-03-16,,2020-03-13,0.0,,,,,,,
43,3.0,Cyprus,CYP,2020-12-29,,,212.0,402.0,81.0,,2021-02-08,2020-01-03,65233.0,308.0,,343.42857142857144,0.00735170272718582,0.02026215654899717,2.865307314340541,,,,,,,,,1198575.0,2021-04-30,2021-02-08,2020-07-05,2020-04-10,2020-03-25,2020-03-28,2020-03-12,1.0,,,,,,,
44,5.0,Czech Republic,CZE,2020-03-27,2020-10-22,,270.0,126.0,357.0,151.0,2020-05-08,2020-01-03,1630758.0,29267.0,,195.42857142857142,0.04020511701489279,0.0012050134504270789,0.183162044464916,9946.42857142857,0.019533971115755156,0.07591584737690596,9.322117942887262,,,,,10669709.0,2020-11-30,2020-05-08,2020-03-23,2020-03-29,2020-03-23,2020-03-26,2020-03-11,1.0,,2021-04-30,2020-11-30,7868.0,,,
45,4.0,Germany,DEU,2020-03-30,2020-12-18,,9048.0,144.0,295.0,,2020-07-09,2020-02-16,3381597.0,82850.0,,4646.285714285715,0.046380721589274664,0.0062034996044616,0.5588992275221859,23980.0,0.02930529342990707,0.06818694302078569,2.8845413950274907,,,,,83132799.0,2021-02-13,2020-07-09,2020-03-10,2020-03-16,2020-03-10,2020-03-13,2020-03-07,0.0,,,,55694.0,,,
46,5.0,Djibouti,DJI,2020-04-14,2020-05-28,,2.0,53.0,362.0,250.0,2020-05-03,2020-03-11,11026.0,143.0,,29.714285714285715,0.0075807953185263975,0.002934737311663233,0.3052126804129763,124.14285714285714,0.012439621517898502,0.01320631790248455,1.2751433619176746,,,,,973560.0,2020-08-23,2020-05-03,2020-04-26,2020-05-22,2020-04-10,2020-05-19,2020-03-18,0.0,,2021-04-30,2020-08-23,58.0,,,
47,0.0,Dominica,DMA,,,,,,,,,,174.0,0.0,,,,,,,,,,,,,,71808.0,,,,,,,2020-03-24,0.0,,,,,,,
48,4.0,Denmark,DNK,2020-04-03,2020-12-12,,606.0,181.0,302.0,,2020-07-02,2020-01-03,250554.0,2483.0,,251.42857142857142,0.04848677272675731,0.020132644171644933,0.43211528953774486,2738.0,0.009312944650256075,0.014731203052423121,4.705637295045693,,,,,5818553.0,2021-02-10,2020-07-02,2020-03-18,2020-03-22,2020-03-16,2020-03-20,2020-03-08,1.0,,,,1638.0,13522675.0,,
49,6.0,Dominican Republic,DOM,2020-03-03,2020-07-26,2021-01-16,2195.0,233.0,194.0,194.0,2020-10-18,2020-02-28,266214.0,3471.0,,0.7142857142857143,0.01885289653714754,0.0,0.0006651350291953039,1339.5714285714287,0.01884345601880047,0.011174268490481106,1.2473942337528732,1490.142857142857,0.008728201379968357,0.0010642160467124863,1.3876046979072432,10738958.0,2020-10-18,2020-03-03,2020-04-01,2020-03-26,2020-03-17,2020-03-25,2020-03-20,1.0,,2021-03-26,2020-10-18,2195.0,,1100.0,752629.0
50,6.0,Algeria,DZA,2020-07-27,2020-10-09,2020-11-16,1783.0,280.0,203.0,165.0,2020-10-09,2020-01-03,121866.0,3244.0,,610.4285714285714,0.03698216360281555,0.0025549871560795667,0.1417851963367271,138.28571428571428,0.028464211850493595,0.0013936293578615817,0.03211983853357169,1072.857142857143,0.019170410829522345,0.004744976147004909,0.24919420184620186,43053054.0,2020-11-16,2020-07-27,2020-04-04,2020-03-20,2020-03-12,2020-03-18,2020-03-24,0.0,,2021-03-26,2020-10-09,999.0,,1288.0,
