,class,country,countrycode,dead_during_wave,population,t0_10_dead,t0_1_dead,t0_5_dead,wave,wave_end,wave_start
139,3.0,Netherlands,NLD,6135.0,17332850.0,2020-03-15,2020-03-07,2020-03-12,1.0,2020-07-11,2020-02-27
140,3.0,Netherlands,NLD,3036.0,17332850.0,2020-08-06,2020-07-16,2020-07-26,2.0,2020-11-27,2020-07-11
141,3.0,Norway,NOR,255.0,5347896.0,2020-03-25,2020-03-13,2020-03-20,1.0,2020-07-21,2020-02-26
142,3.0,Norway,NOR,61.0,5347896.0,2020-09-11,2020-08-04,2020-08-15,2.0,2020-11-27,2020-07-21
143,3.0,Nepal,NPL,39.0,28608710.0,2020-06-05,2020-05-17,2020-05-29,1.0,2020-07-16,2020-03-23
144,3.0,Nepal,NPL,1373.0,28608710.0,2020-07-29,2020-07-18,2020-07-25,2.0,2020-11-27,2020-07-16
145,2.0,New Zealand,NZL,22.0,4917000.0,2020-04-17,2020-03-29,2020-04-13,1.0,2020-05-29,2020-02-27
146,4.0,Oman,OMN,420.0,4974986.0,2020-04-25,2020-04-01,2020-04-18,1.0,2020-08-05,2020-04-01
147,4.0,Oman,OMN,782.0,4974986.0,2020-08-25,2020-08-25,2020-08-25,2.0,2020-11-27,2020-08-24
148,3.0,Pakistan,PAK,6328.0,216565318.0,2020-03-29,2020-03-20,2020-03-23,1.0,2020-09-03,2020-02-26
149,3.0,Pakistan,PAK,1569.0,216565318.0,2020-09-05,2020-09-04,2020-09-04,2.0,2020-11-27,2020-09-03
150,1.0,Panama,PAN,3017.0,4246439.0,2020-03-28,2020-03-11,2020-03-24,1.0,2020-11-27,2020-03-11
151,2.0,Peru,PER,30121.0,32510453.0,2020-03-28,2020-03-20,2020-03-22,1.0,2020-09-09,2020-03-20
152,1.0,Philippines,PHL,8241.0,108116615.0,2020-03-16,2020-02-02,2020-03-14,1.0,2020-11-27,2020-02-02
153,1.0,Poland,POL,15567.0,37970874.0,2020-03-25,2020-03-13,2020-03-18,1.0,2020-11-27,2020-03-13
154,1.0,Puerto Rico,PRI,1067.0,3193694.0,2020-04-02,2020-03-28,2020-03-30,1.0,2020-11-27,2020-03-28
155,3.0,Portugal,PRT,820.0,10269417.0,2020-03-22,2020-03-18,2020-03-21,1.0,2020-04-24,2020-03-09
156,3.0,Portugal,PRT,3389.0,10269417.0,2020-04-25,2020-04-25,2020-04-25,2.0,2020-11-27,2020-04-24
157,1.0,Paraguay,PRY,1703.0,7044636.0,2020-05-01,2020-03-21,2020-04-06,1.0,2020-11-27,2020-03-21
158,1.0,Palestina,PSE,762.0,4685306.0,2020-07-02,2020-03-27,2020-05-24,1.0,2020-11-27,2020-03-27
159,3.0,French Polynesia,PYF,5.0,279287.0,2020-10-10,2020-09-12,2020-09-23,1.0,2020-09-28,2020-08-11
160,3.0,French Polynesia,PYF,65.0,279287.0,2020-10-21,2020-09-29,2020-10-10,2.0,2020-11-27,2020-09-28
161,2.0,Qatar,QAT,177.0,2832067.0,2020-04-23,2020-03-29,2020-04-08,1.0,2020-08-07,2020-03-29
162,1.0,Romania,ROU,10710.0,19356544.0,2020-03-25,2020-03-23,2020-03-24,1.0,2020-11-27,2020-03-23
163,1.0,Russia,RUS,38556.0,144373535.0,2020-03-31,2020-03-27,2020-03-29,1.0,2020-11-27,2020-03-27
164,2.0,Rwanda,RWA,31.0,12626950.0,2020-08-19,2020-05-31,2020-07-19,1.0,2020-10-12,2020-05-18
165,2.0,Saudi Arabia,SAU,5810.0,34268528.0,2020-04-01,2020-03-25,2020-03-30,1.0,2020-11-25,2020-03-25
166,3.0,Sudan,SDN,822.0,42813238.0,2020-04-19,2020-03-15,2020-04-15,1.0,2020-09-06,2020-03-15
167,3.0,Sudan,SDN,376.0,42813238.0,2020-09-08,2020-09-07,2020-09-07,2.0,2020-11-27,2020-09-06
168,2.0,Senegal,SEN,326.0,16296364.0,2020-05-05,2020-04-02,2020-04-21,1.0,2020-11-06,2020-03-13
169,2.0,Singapore,SGP,26.0,5703569.0,2020-04-15,2020-03-22,2020-04-03,1.0,2020-07-10,2020-01-23
