,COUNTRYCODE,COUNTRY,GOV_MAX_SI_DAYS_FROM_T0,CLASS_COARSE,POPULATION,EPI_CONFIRMED,EPI_CONFIRMED_PER_10K,EPI_DEAD,EPI_DEAD_PER_10K,MAX_SI,T0_POP,T0_1_DEAD,T0_5_DEAD,T0_10_DEAD,EPI_DURATION_FIRST_WAVE,EPI_DURATION_SECOND_WAVE,DEAD_FIRST_WAVE,DEAD_SECOND_WAVE,C1_SCHOOL_CLOSING_AT_T0,C2_WORKPLACE_CLOSING_AT_T0,C3_CANCEL_PUBLIC_EVENTS_AT_T0,C4_RESTRICTIONS_ON_GATHERINGS_AT_T0,C5_CLOSE_PUBLIC_TRANSPORT_AT_T0,C6_STAY_AT_HOME_REQUIREMENTS_AT_T0,C7_RESTRICTIONS_ON_INTERNAL_MOVEMENT_AT_T0,C8_INTERNATIONAL_TRAVEL_CONTROLS_AT_T0,H2_TESTING_POLICY_AT_T0,H3_CONTACT_TRACING_AT_T0,SI_AT_T0,C1_SCHOOL_CLOSING_AT_PEAK_1,C2_WORKPLACE_CLOSING_AT_PEAK_1,C3_CANCEL_PUBLIC_EVENTS_AT_PEAK_1,C4_RESTRICTIONS_ON_GATHERINGS_AT_PEAK_1,C5_CLOSE_PUBLIC_TRANSPORT_AT_PEAK_1,C6_STAY_AT_HOME_REQUIREMENTS_AT_PEAK_1,C7_RESTRICTIONS_ON_INTERNAL_MOVEMENT_AT_PEAK_1,C8_INTERNATIONAL_TRAVEL_CONTROLS_AT_PEAK_1,H2_TESTING_POLICY_AT_PEAK_1,H3_CONTACT_TRACING_AT_PEAK_1,SI_AT_PEAK_1,C1_SCHOOL_CLOSING_DAYS_TO_THRESHOLD,C2_WORKPLACE_CLOSING_DAYS_TO_THRESHOLD,C3_CANCEL_PUBLIC_EVENTS_DAYS_TO_THRESHOLD,C4_RESTRICTIONS_ON_GATHERINGS_DAYS_TO_THRESHOLD,C5_CLOSE_PUBLIC_TRANSPORT_DAYS_TO_THRESHOLD,C6_STAY_AT_HOME_REQUIREMENTS_DAYS_TO_THRESHOLD,C7_RESTRICTIONS_ON_INTERNAL_MOVEMENT_DAYS_TO_THRESHOLD,C8_INTERNATIONAL_TRAVEL_CONTROLS_DAYS_TO_THRESHOLD,H2_TESTING_POLICY_DAYS_TO_THRESHOLD,H3_CONTACT_TRACING_DAYS_TO_THRESHOLD,SI_DAYS_TO_THRESHOLD,C1_SCHOOL_CLOSING_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C2_WORKPLACE_CLOSING_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C3_CANCEL_PUBLIC_EVENTS_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C4_RESTRICTIONS_ON_GATHERINGS_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C5_CLOSE_PUBLIC_TRANSPORT_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C6_STAY_AT_HOME_REQUIREMENTS_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C7_RESTRICTIONS_ON_INTERNAL_MOVEMENT_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C8_INTERNATIONAL_TRAVEL_CONTROLS_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,H2_TESTING_POLICY_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,H3_CONTACT_TRACING_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,SI_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,CLASS
0,ABW,Aruba,-6,EPI_FIRST_WAVE,106314.0,4838.0,455.0670654852606,45.0,4.232744511541283,88.89,2020-03-13,2020-04-16,2020-08-20,2020-08-30,219,,44.0,,3.0,3.0,2.0,4.0,0.0,2.0,2.0,4.0,1.0,1.0,85.19,0.0,2.0,2.0,4.0,0.0,1.0,1.0,3.0,2.0,1.0,58.33,-31,-18,-18,-18,,-18,-18,-30,,,-18,48.0,18.0,220.0,142.0,0.0,97.0,45.0,55.0,0.0,0.0,69,2
1,AFG,Afghanistan,19,EPI_SECOND_WAVE,38041754.0,45844.0,12.050969048377738,1763.0,0.46343814746291667,84.26,2020-04-02,2020-03-24,2020-04-05,2020-04-08,223,57.0,1462.0,,3.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,50.93,3.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,1.0,84.26,-10,0,-23,12,4.0,1,19,,147.0,147.0,4,144.0,133.0,167.0,135.0,151.0,154.0,128.0,0.0,48.0,18.0,143,3
2,AGO,Angola,-3,EPI_FIRST_WAVE,31825295.0,15103.0,4.7455962309226045,346.0,0.1087185523339218,90.74,2020-06-20,2020-03-30,2020-06-12,2020-06-24,,,,,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,0.0,90.74,,,,,,,,,,,,-6,-3,-3,-3,-3.0,-3,-3,-10,205.0,,-3,,,,,,,,,,,,1
3,AIA,Anguilla,,EPI_OTHER,,4.0,,0.0,,82.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,ALB,Albania,37,EPI_FIRST_WAVE,2854191.0,37625.0,131.82369364909357,798.0,2.7958885722784497,89.81,2020-03-13,2020-03-12,2020-03-25,2020-03-29,,,,,3.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,51.85,,,,,,,,,,,,-3,,-3,37,1.0,1,1,11,,75.0,1,,,,,,,,,,,,1
5,AND,Andorra,209,EPI_FIRST_WAVE,77142.0,6712.0,870.0837416712037,76.0,9.851961318088719,62.96,2020-03-03,2020-03-27,2020-03-30,2020-04-01,,,,,3.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,48.15,,,,,,,,,,,,-11,-13,102,178,,,,,22.0,124.0,209,,,,,,,,,,,,1
6,ARE,United Arab Emirates,13,EPI_SECOND_WAVE,9770529.0,167753.0,171.69285306865166,570.0,0.5833870407630948,89.81,2020-03-09,2020-03-22,2020-03-31,2020-04-05,147,162.0,301.0,,3.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,45.37,3.0,2.0,2.0,4.0,1.0,0.0,1.0,4.0,3.0,2.0,72.22,-14,,-6,5,13.0,1,1,3,22.0,-50.0,1,106.0,0.0,98.0,87.0,13.0,40.0,37.0,89.0,70.0,142.0,91,3
7,ARG,Argentina,15,EPI_FIRST_WAVE,44938712.0,1418794.0,315.7175488251644,38473.0,8.561215550637055,100.0,2020-03-22,2020-03-08,2020-03-25,2020-03-27,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,11.11,,,,,,,,,,,,8,11,3,11,15.0,11,12,8,,-4.0,11,,,,,,,,,,,,1
8,ARM,Armenia,,EPI_SECOND_WAVE,2957731.0,135124.0,456.85020037319146,2164.0,7.3164192416416505,,2020-03-15,2020-03-27,2020-04-03,2020-04-09,159,89.0,880.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
9,ATG,Antigua and Barbuda,,EPI_OTHER,97118.0,141.0,14.518420890051278,4.0,0.4118700961716675,,2020-03-15,2020-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10,AUS,Australia,155,EPI_SECOND_WAVE,25364307.0,27893.0,10.99694937456797,907.0,0.35758911134453625,79.17,2020-03-13,2020-03-01,2020-03-16,2020-03-26,141,170.0,102.0,805.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,19.44,3.0,2.0,2.0,4.0,0.0,1.0,2.0,4.0,1.0,2.0,71.3,23,154,17,28,,32,18,19,57.0,-36.0,23,25.0,0.0,86.0,64.0,0.0,43.0,87.0,86.0,48.0,141.0,80,4
11,AUT,Austria,249,EPI_SECOND_WAVE,8877067.0,278182.0,313.3715223733244,2904.0,3.2713507738535714,82.41,2020-03-07,2020-03-13,2020-03-20,2020-03-23,111,168.0,677.0,,0.0,1.0,2.0,0.0,1.0,0.0,2.0,3.0,1.0,1.0,48.15,2.0,3.0,2.0,4.0,1.0,2.0,2.0,3.0,2.0,1.0,81.48,249,3,-2,3,,3,0,,77.0,17.0,3,0.0,29.0,97.0,47.0,0.0,46.0,41.0,0.0,18.0,78.0,56,3
12,AZE,Azerbaijan,92,EPI_SECOND_WAVE,10023318.0,118195.0,117.92003406456824,1361.0,1.3578338031378432,96.3,2020-03-22,2020-03-21,2020-04-01,2020-04-11,170,106.0,506.0,,3.0,0.0,2.0,4.0,0.0,0.0,2.0,3.0,2.0,2.0,61.11,3.0,2.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,2.0,96.3,-18,10,-7,-7,92.0,10,-2,26,246.0,-22.0,-2,167.0,27.0,156.0,156.0,57.0,113.0,151.0,123.0,0.0,171.0,151,3
13,BDI,Burundi,145,EPI_OTHER,11530580.0,681.0,0.5906034215104531,1.0,0.0008672590624235728,14.81,2020-06-01,2020-04-15,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,13.89,,,,,,,,,,,,,,,,,,,,,-14.0,,,,,,,,,,,,,0
14,BEL,Belgium,10,EPI_SECOND_WAVE,11484055.0,577831.0,503.1593805498145,16755.0,14.589794284335976,81.48,2020-03-04,2020-03-10,2020-03-13,2020-03-15,123,152.0,9641.0,5229.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,19.44,2.0,3.0,2.0,4.0,0.0,2.0,2.0,4.0,1.0,1.0,81.48,,8,4,8,,8,4,10,,-13.0,8,0.0,54.0,110.0,82.0,0.0,82.0,86.0,46.0,0.0,58.0,82,4
15,BEN,Benin,-8,EPI_FIRST_WAVE,11801151.0,2974.0,2.5200931671834383,43.0,0.03643712380258502,70.83,2020-04-27,2020-04-07,2020-06-13,2020-06-19,99,,21.0,,3.0,2.0,2.0,4.0,2.0,0.0,2.0,2.0,1.0,2.0,70.83,2.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,2.0,41.67,-8,,-21,-8,-8.0,,-8,40,,-31.0,-8,41.0,0.0,63.0,41.0,63.0,0.0,41.0,1.0,0.0,100.0,42,2
16,BES,"Bonaire, Sint Eustatius and Saba",,EPI_OTHER,,161.0,,3.0,,,,2020-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
17,BFA,Burkina Faso,46,EPI_OTHER,20321378.0,2856.0,1.4054165027588188,68.0,0.03346229768473378,89.81,2020-03-26,2020-03-19,2020-03-29,2020-03-31,,,,,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,33.33,,,,,,,,,,,,-3,,-7,,4.0,2,2,2,175.0,-10.0,2,,,,,,,,,,,,0
18,BGD,Bangladesh,20,EPI_FIRST_WAVE,163046161.0,462407.0,28.360496019283765,6609.0,0.40534533039388765,93.52,2020-04-15,2020-03-22,2020-03-26,2020-04-07,,,,,3.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,81.48,,,,,,,,,,,,-6,-3,-1,-3,-3.0,-3,-3,,,,-3,,,,,,,,,,,,1
19,BGR,Bulgaria,9,EPI_FIRST_WAVE,6975761.0,142486.0,204.2587181527578,3814.0,5.467503832198379,73.15,2020-03-15,2020-03-12,2020-03-29,2020-04-02,,,,,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,26.85,,,,,,,,,,,,1,,1,1,,6,6,63,,48.0,6,,,,,,,,,,,,1
20,BHR,Bahrain,11,EPI_FIRST_WAVE,1641172.0,86787.0,528.8111179084216,341.0,2.077783437689651,78.7,2020-02-26,2020-03-17,2020-04-08,2020-05-14,251,,337.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,30.56,2.0,2.0,2.0,4.0,0.0,2.0,0.0,3.0,3.0,2.0,63.89,-20,9,1,5,,184,,,14.0,-23.0,1,183.0,14.0,251.0,247.0,0.0,68.0,0.0,0.0,238.0,252.0,225,2
21,BHS,Bahamas,,EPI_FIRST_WAVE,389482.0,7496.0,192.4607555676514,163.0,4.185045778752292,,2020-03-19,2020-04-02,2020-04-06,2020-04-24,242,,162.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
22,BIH,Bosnia and Herzegovina,19,EPI_FIRST_WAVE,3301000.0,87374.0,264.68948803392914,2620.0,7.936988791275371,92.59,2020-03-16,2020-03-22,2020-03-29,2020-04-01,,,,,3.0,3.0,2.0,4.0,2.0,3.0,2.0,3.0,2.0,0.0,89.81,,,,,,,,,,,,-11,-5,-5,-4,-5.0,-2,-2,50,,,-5,,,,,,,,,,,,1
23,BLR,Belarus,209,EPI_SECOND_WAVE,9466856.0,135008.0,142.6112322823966,1151.0,1.215820754007455,22.22,2020-03-20,2020-04-03,2020-04-05,2020-04-07,173,104.0,613.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.56,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,16.67,,,,,,,,209,17.0,6.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,132.0,0,3
24,BLZ,Belize,39,EPI_FIRST_WAVE,390353.0,5743.0,147.12324485785942,147.0,3.765822217326369,85.19,2020-03-26,2020-04-06,2020-08-20,2020-08-25,,,,,3.0,3.0,2.0,3.0,0.0,0.0,2.0,4.0,1.0,2.0,75.0,,,,,,,,,,,,-17,-5,-21,39,,21,-5,-17,,-12.0,-5,,,,,,,,,,,,1
25,BMU,Bermuda,-3,EPI_OTHER,63918.0,251.0,39.26906348759348,9.0,1.4080540692762602,96.3,2020-03-20,2020-04-07,2020-04-15,,,,,,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,96.3,,,,,,,,,,,,-18,-3,-3,-3,-19.0,-3,-3,-18,32.0,-69.0,-3,,,,,,,,,,,,0
26,BOL,Bolivia,-17,EPI_FIRST_WAVE,11513100.0,144622.0,125.615168807706,8952.0,7.775490528180942,84.26,2020-03-27,2020-03-30,2020-03-31,2020-04-04,138,,3881.0,,3.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,0.0,0.0,84.26,3.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,84.26,-18,,-89,-89,-89.0,-89,-89,,,,-89,139.0,0.0,139.0,139.0,139.0,139.0,139.0,0.0,0.0,0.0,139,2
27,BRA,Brazil,48,EPI_FIRST_WAVE,211049527.0,6314740.0,299.20654595923355,172833.0,8.189215226244027,81.02,2020-03-22,2020-03-18,2020-03-20,2020-03-21,,,,,3.0,3.0,2.0,3.0,0.0,1.0,2.0,2.0,1.0,0.0,60.65,,,,,,,,,,,,-6,-1,-6,39,3.0,48,-1,9,,14.0,0,,,,,,,,,,,,1
28,BRB,Barbados,2,EPI_OTHER,287025.0,275.0,9.58104694713004,7.0,0.2438811950178556,88.89,2020-03-20,2020-04-06,2020-04-15,,,,,,3.0,3.0,2.0,4.0,0.0,3.0,2.0,2.0,1.0,2.0,83.33,,,,,,,,,,,,-18,-9,-20,-3,,-3,-9,,,-17.0,-9,,,,,,,,,,,,0
29,BRN,Brunei,13,EPI_OTHER,433285.0,150.0,3.4619245992822276,3.0,0.06923849198564455,58.33,2020-03-11,2020-03-29,,,,,,,3.0,0.0,2.0,3.0,0.0,0.0,0.0,4.0,2.0,1.0,52.78,,,,,,,,,,,,-18,,-16,,,,,-5,138.0,204.0,,,,,,,,,,,,,0
30,BTN,Bhutan,,EPI_OTHER,763092.0,396.0,5.1894135962636225,0.0,0.0,97.22,2020-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
31,BWA,Botswana,0,EPI_OTHER,2303697.0,9992.0,43.37375965676041,31.0,0.13456630798234318,86.11,2020-04-10,2020-04-02,2020-08-27,2020-09-11,,,,,3.0,3.0,2.0,4.0,1.0,2.0,2.0,4.0,1.0,1.0,86.11,,,,,,,,,,,,-14,0,-17,0,,0,0,-14,,165.0,-8,,,,,,,,,,,,0
32,CAF,Central African Republic,-16,EPI_FIRST_WAVE,4745185.0,4913.0,10.353653229536889,63.0,0.13276616190938814,75.93,2020-04-28,2020-05-24,2020-06-07,2020-06-16,180,,62.0,,3.0,2.0,2.0,3.0,0.0,2.0,2.0,4.0,1.0,1.0,75.93,3.0,2.0,2.0,3.0,0.0,2.0,2.0,4.0,1.0,1.0,75.93,-59,,-59,,,-16,-59,-59,,93.0,-59,85.0,0.0,158.0,0.0,0.0,34.0,84.0,84.0,0.0,55.0,84,2
33,CAN,Canada,22,EPI_SECOND_WAVE,37589262.0,370278.0,98.50632342821734,12032.0,3.2009141334033107,74.54,2020-03-15,2020-03-10,2020-03-18,2020-03-20,136,154.0,8522.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.78,3.0,3.0,2.0,4.0,0.0,1.0,2.0,4.0,3.0,1.0,72.69,6,8,2,13,,,10,8,9.0,143.0,8,106.0,96.0,110.0,99.0,0.0,0.0,102.0,104.0,103.0,0.0,104,3
34,CHE,Switzerland,11,EPI_SECOND_WAVE,8574832.0,317017.0,369.7063685912447,4236.0,4.940038475389372,73.15,2020-03-05,2020-03-06,2020-03-14,2020-03-15,105,174.0,1660.0,,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,25.0,3.0,3.0,2.0,4.0,0.0,1.0,1.0,3.0,1.0,1.0,73.15,10,11,-10,11,,,,,97.0,66.0,11,56.0,41.0,106.0,74.0,0.0,0.0,0.0,0.0,0.0,30.0,55,3
35,CHL,Chile,102,EPI_FIRST_WAVE,18952038.0,550430.0,290.4331449736435,15356.0,8.102558679968878,87.5,2020-03-17,2020-03-23,2020-03-28,2020-04-01,165,,10723.0,,3.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,51.85,3.0,3.0,2.0,4.0,0.0,3.0,2.0,3.0,2.0,2.0,78.24,-8,-7,-7,53,102.0,2,2,131,239.0,7.0,2,161.0,105.0,160.0,87.0,51.0,151.0,151.0,22.0,0.0,146.0,151,2
36,CHN,China,75,EPI_FIRST_WAVE,1397715000.0,91814.0,0.6568864181896882,4739.0,0.03390533835581646,81.94,2020-01-30,2020-01-11,2020-01-21,2020-01-22,119,,4636.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.78,3.0,3.0,2.0,4.0,2.0,3.0,2.0,0.0,1.0,2.0,75.46,15,15,11,11,12.0,21,12,,80.0,-6.0,15,105.0,68.0,109.0,109.0,65.0,67.0,76.0,0.0,40.0,120.0,73,2
37,CIV,Côte d'Ivoire,-6,EPI_FIRST_WAVE,25716544.0,21310.0,8.286494483862217,131.0,0.050939970783010345,80.56,2020-03-29,2020-03-30,2020-04-13,2020-04-21,238,,127.0,,3.0,2.0,2.0,3.0,1.0,1.0,2.0,4.0,2.0,1.0,80.56,2.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,62.96,-14,,-11,,,,-6,-8,,108.0,-8,58.0,0.0,134.0,0.0,0.0,0.0,114.0,101.0,0.0,120.0,127,2
38,CMR,Cameroon,24,EPI_OTHER,25876380.0,24117.0,9.320082639070844,437.0,0.16887988196185091,71.3,2020-03-31,2020-03-25,2020-04-01,2020-04-09,,,,,3.0,2.0,2.0,3.0,1.0,0.0,1.0,3.0,0.0,1.0,57.41,,,,,,,,,,,,-7,,-7,,,,,24,,,10,,,,,,,,,,,,0
39,COD,Democratic Republic of the Congo,15,EPI_FIRST_WAVE,86790567.0,12701.0,1.4634078839466507,332.0,0.03825300507600094,80.56,2020-04-26,2020-03-22,2020-03-29,2020-04-02,,,,,3.0,2.0,2.0,0.0,1.0,0.0,2.0,3.0,1.0,1.0,58.33,,,,,,,,,,,,-3,,-3,,2.0,15,-4,2,,,2,,,,,,,,,,,,1
40,COG,Republic of Congo,-1,EPI_OTHER,5380508.0,5774.0,10.73132871468642,94.0,0.17470469331148658,97.22,2020-04-03,2020-04-01,2020-04-05,2020-05-02,,,,,3.0,3.0,2.0,3.0,2.0,3.0,2.0,4.0,1.0,1.0,97.22,,,,,,,,,,,,-4,-4,-4,,-1.0,-4,-4,-11,,,-4,,,,,,,,,,,,0
41,COL,Colombia,36,EPI_FIRST_WAVE,50339443.0,1308376.0,259.9107026273612,36584.0,7.267462216457183,90.74,2020-03-24,2020-03-22,2020-03-27,2020-03-30,,,,,3.0,1.0,2.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,50.93,,,,,,,,,,,,-6,3,-10,33,,3,3,3,,12.0,3,,,,,,,,,,,,1
42,COM,Comoros,,EPI_OTHER,850886.0,611.0,7.180750417799799,7.0,0.08226718972929394,,2020-05-07,2020-05-05,2020-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
43,CPV,Cape Verde,38,EPI_FIRST_WAVE,549935.0,10526.0,191.40443870639257,104.0,1.8911325883968106,87.96,2020-03-22,2020-03-25,2020-06-03,2020-06-27,,,,,2.0,0.0,2.0,0.0,0.0,1.0,2.0,4.0,1.0,0.0,50.93,,,,,,,,,,,,3,3,-9,54,,7,-5,-6,48.0,54.0,3,,,,,,,,,,,,1
44,CRI,Costa Rica,39,EPI_FIRST_WAVE,5047561.0,137093.0,271.6024630509666,1690.0,3.3481517112918495,81.48,2020-03-14,2020-03-19,2020-04-21,2020-05-17,,,,,3.0,2.0,2.0,0.0,0.0,0.0,2.0,4.0,1.0,2.0,62.96,,,,,,,,,,,,-2,25,-9,,2.0,,-2,-2,,-57.0,-2,,,,,,,,,,,,1
45,CUB,Cuba,53,EPI_FIRST_WAVE,11333483.0,8233.0,7.264315833005617,134.0,0.11823373273688238,100.0,2020-03-26,2020-03-19,2020-04-01,2020-04-08,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,13.89,,,,,,,,,,,,5,29,1,53,5.0,5,4,29,140.0,47.0,5,,,,,,,,,,,,1
46,CUW,Curaçao,,EPI_FIRST_WAVE,157538.0,2364.0,150.05903337607435,4.0,0.2539069938681461,,2020-03-13,2020-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
47,CYM,Cayman Islands,26,EPI_OTHER,64948.0,274.0,42.18759623083082,2.0,0.30793865861920305,94.44,2020-03-20,2020-03-21,,,,,,,3.0,0.0,2.0,3.0,0.0,0.0,0.0,4.0,1.0,2.0,47.22,,,,,,,,,,,,-5,7,-8,7,7.0,3,4,-5,48.0,0.0,3,,,,,,,,,,,,0
48,CYP,Cyprus,22,EPI_FIRST_WAVE,1198575.0,10383.0,86.62787059633314,48.0,0.40047556473312057,94.44,2020-03-12,2020-03-25,2020-03-28,2020-04-10,,,,,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,1.0,92.59,,,,,,,,,,,,-12,22,-15,-2,-1.0,-1,-1,-10,17.0,22.0,-2,,,,,,,,,,,,1
49,CZE,Czech Republic,0,EPI_SECOND_WAVE,10669709.0,519723.0,487.10138205268765,8138.0,7.627199579669886,82.41,2020-03-11,2020-03-23,2020-03-26,2020-03-29,74,200.0,290.0,,3.0,3.0,2.0,4.0,0.0,2.0,2.0,4.0,1.0,2.0,82.41,3.0,3.0,2.0,4.0,0.0,2.0,0.0,4.0,2.0,2.0,74.07,-12,-9,-12,0,,-8,-7,-7,,-22.0,-9,40.0,37.0,65.0,35.0,0.0,37.0,17.0,29.0,0.0,75.0,44,3
50,DEU,Germany,12,EPI_SECOND_WAVE,83132799.0,1053869.0,126.76933925922548,16248.0,1.9544632438034475,76.85,2020-03-07,2020-03-10,2020-03-13,2020-03-16,111,168.0,8791.0,,2.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,32.87,3.0,2.0,2.0,4.0,0.0,2.0,2.0,4.0,1.0,1.0,76.85,6,,0,11,,11,9,8,50.0,-48.0,11,49.0,0.0,98.0,87.0,0.0,46.0,89.0,59.0,48.0,23.0,59,3
51,DJI,Djibouti,-18,EPI_SECOND_WAVE,973560.0,5677.0,58.311763014092605,61.0,0.6265664160401002,94.44,2020-03-26,2020-04-10,2020-05-19,2020-05-22,45,205.0,3.0,57.0,3.0,3.0,2.0,4.0,1.0,3.0,2.0,4.0,2.0,2.0,94.44,3.0,3.0,2.0,4.0,1.0,3.0,2.0,4.0,2.0,2.0,94.44,-22,-18,-18,-18,,-18,-18,-23,21.0,-23.0,-18,46.0,46.0,46.0,46.0,0.0,46.0,46.0,46.0,9.0,46.0,46,4
52,DMA,Dominica,,EPI_OTHER,71808.0,85.0,11.837121212121213,0.0,0.0,79.63,2020-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
53,DNK,Denmark,2,EPI_SECOND_WAVE,5818553.0,79352.0,136.37754953851928,829.0,1.4247528552201896,72.22,2020-03-08,2020-03-16,2020-03-20,2020-03-22,116,143.0,608.0,,3.0,1.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,65.74,3.0,2.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,72.22,-3,,,2,,,,-2,57.0,38.0,-3,30.0,0.0,0.0,51.0,0.0,0.0,0.0,70.0,60.0,79.0,70,3
54,DOM,Dominican Republic,38,EPI_FIRST_WAVE,10738958.0,143473.0,133.600485261233,2330.0,2.1696704652350816,100.0,2020-03-22,2020-03-21,2020-03-25,2020-03-26,165,,1736.0,,3.0,3.0,2.0,4.0,2.0,1.0,2.0,4.0,0.0,1.0,92.59,3.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,78.7,-2,-2,-2,-4,-2.0,28,-1,-2,,,-2,166.0,60.0,166.0,166.0,60.0,116.0,166.0,102.0,0.0,0.0,166,2
55,DZA,Algeria,32,EPI_SECOND_WAVE,43053054.0,82221.0,19.097599905456185,2410.0,0.5597744587410687,92.13,2020-03-24,2020-03-13,2020-03-18,2020-03-21,230,49.0,1801.0,,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,30.56,3.0,2.0,2.0,4.0,0.0,2.0,2.0,4.0,1.0,2.0,79.63,-1,17,-3,17,10.0,10,10,4,,107.0,10,173.0,25.0,158.0,100.0,149.0,204.0,129.0,210.0,0.0,107.0,204,3
56,ECU,Ecuador,3,EPI_SECOND_WAVE,17373662.0,192117.0,110.57945066503538,13423.0,7.7260625883017635,93.52,2020-03-18,2020-03-14,2020-03-21,2020-03-23,92,183.0,3334.0,,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,36.11,3.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,1.0,93.52,-1,3,-1,131,1.0,3,3,1,,,3,80.0,76.0,80.0,0.0,78.0,76.0,76.0,78.0,0.0,0.0,76,3
57,EGY,Egypt,16,EPI_FIRST_WAVE,100388073.0,115541.0,11.509434990349899,6636.0,0.6610347027978114,84.26,2020-03-29,2020-03-09,2020-03-19,2020-03-23,225,,6040.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,71.3,6,,12,,16.0,16,16,10,,-24.0,16,84.0,0.0,206.0,0.0,74.0,74.0,202.0,104.0,0.0,226.0,202,2
58,ERI,Eritrea,,EPI_OTHER,3213972.0,577.0,1.7952863310570222,0.0,0.0,93.52,2020-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
