,COUNTRYCODE,COUNTRY,GOV_MAX_SI_DAYS_FROM_T0,CLASS_COARSE,POPULATION,EPI_CONFIRMED,EPI_CONFIRMED_PER_10K,EPI_DEAD,EPI_DEAD_PER_10K,MAX_SI,T0_POP,T0_1_DEAD,T0_5_DEAD,T0_10_DEAD,EPI_DURATION_FIRST_WAVE,EPI_DURATION_SECOND_WAVE,DEAD_FIRST_WAVE,DEAD_SECOND_WAVE,C1_SCHOOL_CLOSING_AT_T0,C2_WORKPLACE_CLOSING_AT_T0,C3_CANCEL_PUBLIC_EVENTS_AT_T0,C4_RESTRICTIONS_ON_GATHERINGS_AT_T0,C5_CLOSE_PUBLIC_TRANSPORT_AT_T0,C6_STAY_AT_HOME_REQUIREMENTS_AT_T0,C7_RESTRICTIONS_ON_INTERNAL_MOVEMENT_AT_T0,C8_INTERNATIONAL_TRAVEL_CONTROLS_AT_T0,H2_TESTING_POLICY_AT_T0,H3_CONTACT_TRACING_AT_T0,SI_AT_T0,C1_SCHOOL_CLOSING_AT_PEAK_1,C2_WORKPLACE_CLOSING_AT_PEAK_1,C3_CANCEL_PUBLIC_EVENTS_AT_PEAK_1,C4_RESTRICTIONS_ON_GATHERINGS_AT_PEAK_1,C5_CLOSE_PUBLIC_TRANSPORT_AT_PEAK_1,C6_STAY_AT_HOME_REQUIREMENTS_AT_PEAK_1,C7_RESTRICTIONS_ON_INTERNAL_MOVEMENT_AT_PEAK_1,C8_INTERNATIONAL_TRAVEL_CONTROLS_AT_PEAK_1,H2_TESTING_POLICY_AT_PEAK_1,H3_CONTACT_TRACING_AT_PEAK_1,SI_AT_PEAK_1,C1_SCHOOL_CLOSING_DAYS_TO_THRESHOLD,C2_WORKPLACE_CLOSING_DAYS_TO_THRESHOLD,C3_CANCEL_PUBLIC_EVENTS_DAYS_TO_THRESHOLD,C4_RESTRICTIONS_ON_GATHERINGS_DAYS_TO_THRESHOLD,C5_CLOSE_PUBLIC_TRANSPORT_DAYS_TO_THRESHOLD,C6_STAY_AT_HOME_REQUIREMENTS_DAYS_TO_THRESHOLD,C7_RESTRICTIONS_ON_INTERNAL_MOVEMENT_DAYS_TO_THRESHOLD,C8_INTERNATIONAL_TRAVEL_CONTROLS_DAYS_TO_THRESHOLD,H2_TESTING_POLICY_DAYS_TO_THRESHOLD,H3_CONTACT_TRACING_DAYS_TO_THRESHOLD,SI_DAYS_TO_THRESHOLD,C1_SCHOOL_CLOSING_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C2_WORKPLACE_CLOSING_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C3_CANCEL_PUBLIC_EVENTS_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C4_RESTRICTIONS_ON_GATHERINGS_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C5_CLOSE_PUBLIC_TRANSPORT_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C6_STAY_AT_HOME_REQUIREMENTS_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C7_RESTRICTIONS_ON_INTERNAL_MOVEMENT_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C8_INTERNATIONAL_TRAVEL_CONTROLS_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,H2_TESTING_POLICY_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,H3_CONTACT_TRACING_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,SI_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,CLASS
174,SSD,South Sudan,-27,EPI_FIRST_WAVE,11062113.0,3109.0,2.810493799873496,61.0,0.05514317201424357,86.11,2020-05-07,2020-05-15,2020-05-20,2020-05-30,121,,47.0,,3.0,2.0,2.0,3.0,0.0,2.0,2.0,2.0,2.0,2.0,73.15,3.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,85.19,-56,-48,-60,,14.0,-27,-33,-52,,-8.0,-51,122.0,14.0,122.0,0.0,87.0,93.0,75.0,87.0,0.0,109.0,122,2
175,STP,São Tomé and Príncipe,,EPI_OTHER,215056.0,989.0,45.98802172457406,17.0,0.7904917788854996,,2020-04-09,2020-05-01,2020-05-09,2020-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
176,SUR,Suriname,160,EPI_FIRST_WAVE,581372.0,5312.0,91.37006942198799,117.0,2.0124808212297807,100.0,2020-03-22,2020-04-04,2020-06-16,2020-06-25,240,,116.0,,3.0,0.0,2.0,4.0,0.0,2.0,2.0,4.0,1.0,1.0,71.3,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,1.0,85.19,-19,61,-22,-7,2.0,-7,-19,-21,,,-7,180.0,21.0,226.0,198.0,162.0,224.0,150.0,171.0,0.0,0.0,194,2
177,SVK,Slovakia,1,EPI_SECOND_WAVE,5454073.0,105733.0,193.86062489445962,816.0,1.4961295897579663,87.04,2020-03-14,2020-04-07,2020-04-16,2020-04-19,84,178.0,28.0,,3.0,2.0,2.0,3.0,1.0,1.0,1.0,4.0,1.0,2.0,75.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,4.0,1.0,2.0,75.0,-22,198,-28,1,,1,1,-25,150.0,-97.0,-24,77.0,0.0,82.0,6.0,0.0,6.0,6.0,84.0,0.0,85.0,81,3
178,SVN,Slovenia,12,EPI_FIRST_WAVE,2087946.0,75381.0,361.02945191111263,927.0,4.43976999405157,89.81,2020-03-08,2020-03-18,2020-03-27,2020-03-30,,,,,3.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0,2.0,2.0,50.93,,,,,,,,,,,,-2,2,1,1,-2.0,,12,,,-14.0,1,,,,,,,,,,,,1
179,SWE,Sweden,23,EPI_SECOND_WAVE,10285453.0,257562.0,250.41386120766873,7140.0,6.941843008761986,64.81,2020-03-05,2020-03-12,2020-03-12,2020-03-12,138,125.0,5720.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,27.78,2.0,1.0,2.0,3.0,1.0,1.0,0.0,3.0,2.0,1.0,59.26,,,0,257,,,,,,-41.0,23,0.0,0.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,70,3
180,SWZ,Swaziland,-15,EPI_FIRST_WAVE,1148130.0,6410.0,55.82991473091026,121.0,1.0538876259657008,89.81,2020-03-27,2020-04-18,2020-06-21,2020-06-29,211,,117.0,,3.0,2.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,2.0,84.26,2.0,2.0,2.0,3.0,1.0,2.0,2.0,4.0,2.0,1.0,80.56,-32,,-32,,-22.0,-22,-22,-22,,-36.0,-22,93.0,0.0,197.0,0.0,10.0,134.0,134.0,179.0,0.0,17.0,179,2
181,SXM,Sint Maarten,,EPI_OTHER,40733.0,1066.0,261.70426926570593,25.0,6.1375297670193705,,2020-03-03,2020-04-02,2020-04-08,2020-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
182,SYC,Seychelles,,EPI_OTHER,97625.0,173.0,17.720870678617157,0.0,0.0,93.52,2020-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
183,SYR,Syria,2,EPI_FIRST_WAVE,17070135.0,7797.0,4.567626442321633,413.0,0.24194301919697764,87.04,2020-05-25,2020-03-30,2020-06-02,2020-07-04,,,,,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,0.0,0.0,84.26,,,,,,,,,,,,-16,,-14,,-7.0,-5,-5,,,,-14,,,,,,,,,,,,1
184,TCA,Turks and Caicos Islands,-11,EPI_OTHER,38191.0,748.0,195.85766280013615,6.0,1.5710507711240869,79.63,2020-03-25,2020-04-06,2020-09-05,,,,,,3.0,3.0,2.0,4.0,0.0,2.0,2.0,4.0,1.0,2.0,79.63,,,,,,,,,,,,-17,-11,-11,-11,,-11,-11,-13,12.0,-14.0,-11,,,,,,,,,,,,0
185,TCD,Chad,-16,EPI_OTHER,15946876.0,1682.0,1.0547520404623452,101.0,0.06333528899327993,88.89,2020-05-03,2020-04-29,2020-05-01,2020-05-03,,,,,3.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0,1.0,88.89,,,,,,,,,,,,-16,-16,-16,142,-16.0,-27,-16,-16,,84.0,-16,,,,,,,,,,,,0
186,TGO,Togo,5,EPI_OTHER,8082366.0,2962.0,3.664768460126651,64.0,0.07918473377721326,73.15,2020-04-05,2020-03-28,2020-04-17,2020-05-09,,,,,3.0,2.0,2.0,2.0,0.0,1.0,2.0,4.0,1.0,0.0,69.44,,,,,,,,,,,,-8,,-12,,,5,-7,-8,,59.0,-8,,,,,,,,,,,,0
187,THA,Thailand,33,EPI_FIRST_WAVE,69625582.0,3977.0,0.5711980978485752,60.0,0.008617522220496483,76.85,2020-03-21,2020-03-01,2020-03-27,2020-03-31,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,17,33,9,,,,25,24,,44.0,25,,,,,,,,,,,,1
188,TJK,Tajikistan,47,EPI_FIRST_WAVE,9321018.0,12155.0,13.040421121383952,86.0,0.09226460028293047,65.74,2020-05-04,2020-05-04,2020-05-06,2020-05-08,118,,66.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,40.74,0.0,2.0,2.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0,44.44,,,-16,,30.0,5,42,-24,,,47,0.0,0.0,119.0,0.0,86.0,3.0,31.0,58.0,0.0,0.0,26,2
189,TLS,Timor-Leste,,EPI_OTHER,1293119.0,30.0,0.23199720984688957,0.0,0.0,77.78,2020-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
190,TTO,Trinidad and Tobago,32,EPI_FIRST_WAVE,1394973.0,6660.0,47.74285953921689,120.0,0.8602317034093133,90.74,2020-03-18,2020-03-26,2020-04-02,2020-08-16,230,,110.0,,3.0,2.0,2.0,3.0,0.0,0.0,0.0,4.0,2.0,2.0,60.19,3.0,2.0,2.0,4.0,1.0,1.0,2.0,4.0,1.0,2.0,80.56,-12,4,-5,5,,4,32,-3,,-13.0,-3,231.0,52.0,231.0,137.0,0.0,70.0,99.0,231.0,0.0,231.0,231,2
191,TUN,Tunisia,1,EPI_FIRST_WAVE,11694719.0,96251.0,82.3029608492517,3219.0,2.7525244514211926,90.74,2020-03-22,2020-03-21,2020-03-26,2020-04-02,,,,,3.0,1.0,2.0,4.0,0.0,2.0,2.0,4.0,1.0,1.0,77.78,,,,,,,,,,,,-9,1,-8,-1,,-1,-1,-5,,47.0,-1,,,,,,,,,,,,1
192,TUR,Turkey,23,EPI_SECOND_WAVE,83429615.0,586091.0,70.24975483825497,13558.0,1.625082412282497,77.78,2020-03-21,2020-03-19,2020-03-21,2020-03-22,81,176.0,4669.0,,3.0,2.0,2.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,58.33,3.0,2.0,2.0,0.0,1.0,2.0,2.0,4.0,2.0,1.0,75.93,-3,,-3,177,,2,9,8,,31.0,2,82.0,0.0,82.0,0.0,0.0,79.0,65.0,66.0,0.0,50.0,79,3
193,TWN,Taiwan,31,EPI_OTHER,,675.0,,7.0,,31.48,,2020-02-17,2020-03-30,,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,30.56,,,,,,,,,,,,-15,,,,,,,31,96.0,-27.0,,,,,,,,,,,,,0
194,TZA,Tanzania,14,EPI_OTHER,58005463.0,509.0,0.08775035551392805,21.0,0.003620348655780922,50.0,2020-04-25,2020-03-29,2020-04-18,2020-04-23,,,,,3.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,47.22,,,,,,,,,,,,-11,,-12,,,,,14,,,,,,,,,,,,,,,0
