,COUNTRYCODE,COUNTRY,GOV_MAX_SI_DAYS_FROM_T0,CLASS_COARSE,POPULATION,EPI_CONFIRMED,EPI_CONFIRMED_PER_10K,GOV_MAX_SI_DAYS_FROM_T0_POP,CLASS
165,SEN,Senegal,-38,EPI_FIRST_WAVE,16296364.0,13987.0,8.58289616014959,0,1
166,SGP,Singapore,12,EPI_SECOND_WAVE,5703569.0,57022.0,99.97599748508347,67,4
167,SLE,Sierra Leone,-37,EPI_FIRST_WAVE,7813215.0,2054.0,2.6288794049568582,12,2
168,SLV,El Salvador,-6,EPI_FIRST_WAVE,6453553.0,26308.0,40.7651413105308,35,2
170,SOM,Somalia,-30,EPI_FIRST_WAVE,15442905.0,3362.0,2.1770515327265176,-5,2
171,SRB,Serbia,-12,EPI_SECOND_WAVE,6944975.0,31905.0,45.939690207668136,7,4
172,SSD,South Sudan,-48,EPI_FIRST_WAVE,11062113.0,2544.0,2.299741468921896,-19,2
174,SUR,Suriname,40,EPI_FIRST_WAVE,581372.0,4346.0,74.75420212875748,159,1
175,SVK,Slovakia,-10,EPI_SECOND_WAVE,5454073.0,4614.0,8.459732753852029,25,3
176,SVN,Slovenia,-8,EPI_SECOND_WAVE,2087946.0,3174.0,15.201542568629648,22,3
177,SWE,Sweden,19,EPI_FIRST_WAVE,10285453.0,84985.0,82.62640449574754,30,2
178,SWZ,Swaziland,-95,EPI_FIRST_WAVE,1148130.0,4853.0,42.26873263480616,7,1
181,SYR,Syria,-113,EPI_FIRST_WAVE,17070135.0,3171.0,1.8576302999361165,-38,1
183,TCD,Chad,-137,EPI_FIRST_WAVE,15946876.0,1039.0,0.6515382699407708,-20,2
184,TGO,Togo,-126,EPI_FIRST_WAVE,8082366.0,1488.0,1.8410450603202082,-3,1
185,THA,Thailand,8,EPI_FIRST_WAVE,69625582.0,3445.0,0.49478940082683975,13,2
186,TJK,Tajikistan,35,EPI_FIRST_WAVE,9321018.0,8792.0,9.432446112645636,47,2
188,TTO,Trinidad and Tobago,-119,EPI_FIRST_WAVE,1394973.0,2250.0,16.129344438924626,40,1
189,TUN,Tunisia,-42,EPI_SECOND_WAVE,11694719.0,4776.0,4.083894619443186,0,3
190,TUR,Turkey,19,EPI_FIRST_WAVE,83429615.0,279806.0,33.537970899182504,21,2
194,UKR,Ukraine,-17,EPI_FIRST_WAVE,44385155.0,135894.0,30.616993451977358,-11,1
196,USA,United States,31,EPI_SECOND_WAVE,328239523.0,6276421.0,191.2146636893571,29,4
197,UZB,Uzbekistan,13,EPI_FIRST_WAVE,33580650.0,43775.0,13.035781022702063,27,2
200,VEN,Venezuela,28,EPI_FIRST_WAVE,28515829.0,53289.0,18.6875156250937,81,1
203,VNM,Vietnam,-142,EPI_SECOND_WAVE,96462106.0,1049.0,0.10874736655656264,-121,4
206,YEM,Yemen,-55,EPI_FIRST_WAVE,29161922.0,1987.0,0.6813679839072335,-19,2
207,ZAF,South Africa,-2,EPI_FIRST_WAVE,58558270.0,638517.0,109.03959423664668,2,2
208,ZMB,Zambia,-26,EPI_FIRST_WAVE,17861030.0,12776.0,7.153002934321257,3,2
209,ZWE,Zimbabwe,-106,EPI_FIRST_WAVE,14645468.0,6977.0,4.763931067276238,-59,2
