,class,confirmed_during_wave,country,countrycode,dead_during_wave,first_date_c1_above_threshold,first_date_c2_above_threshold,first_date_c3_above_threshold,first_date_c4_above_threshold,first_date_c5_above_threshold,first_date_c6_above_threshold,first_date_c7_above_threshold,first_date_c8_above_threshold,first_date_h2_above_threshold,first_date_h3_above_threshold,first_date_si_above_threshold,population,response_time_t0_10_dead,response_time_t0_1_dead,response_time_t0_5_dead,si_at_t0_10_dead,si_at_t0_1_dead,si_at_t0_5_dead,t0_10_dead,t0_1_dead,t0_5_dead,wave,wave_end,wave_start
64,4.0,1594007.0,France,FRA,18802.0,2020-03-02,2020-03-17,2020-02-29,2020-02-29,,2020-03-17,2020-03-17,,2020-07-25,2020-05-11,2020-03-17,67059887.0,,,,49.54,49.54,49.54,2020-10-04,2020-10-04,2020-10-04,2.0,2020-11-27,2020-10-03
65,2.0,6118.0,Gabon,GAB,45.0,2020-03-16,2020-04-12,2020-03-13,2020-03-20,,2020-04-10,2020-04-10,2020-03-20,2020-04-24,2020-03-30,2020-03-20,2172579.0,,,,80.56,66.67,79.63,2020-05-15,2020-03-21,2020-05-03,1.0,2020-07-17,2020-03-21
66,3.0,300682.0,United Kingdom,GBR,41135.0,2020-03-20,2020-03-21,2020-03-21,2020-03-23,,2020-03-23,2020-03-23,,,2020-06-01,2020-03-23,66834405.0,,,,11.11,11.11,11.11,2020-03-14,2020-03-07,2020-03-11,1.0,2020-07-29,2020-02-22
67,3.0,1273870.0,United Kingdom,GBR,15896.0,2020-03-20,2020-03-21,2020-03-21,2020-03-23,,2020-03-23,2020-03-23,,,2020-06-01,2020-03-23,66834405.0,,,,62.96,62.96,62.96,2020-07-30,2020-07-30,2020-07-30,2.0,2020-11-27,2020-07-29
68,1.0,123296.0,Georgia,GEO,1159.0,2020-03-02,2020-03-19,2020-03-01,2020-03-21,2020-03-23,2020-03-23,2020-03-22,2020-03-18,,2020-02-26,2020-03-19,3720382.0,,,,96.3,100.0,100.0,2020-05-09,2020-04-06,2020-04-23,1.0,2020-11-27,2020-04-06
69,2.0,46808.0,Ghana,GHA,302.0,2020-03-16,2020-03-30,2020-03-16,,2020-03-30,2020-03-30,2020-03-30,2020-03-22,2020-03-21,2020-03-12,2020-03-30,30417856.0,,,,62.04,52.78,52.78,2020-04-25,2020-03-22,2020-03-29,1.0,2020-10-08,2020-03-22
70,2.0,11668.0,Guinea,GIN,71.0,2020-03-27,,2020-03-27,,,2020-03-30,2020-03-27,2020-03-27,,,2020-03-27,12771246.0,,,,78.7,78.7,78.7,2020-05-06,2020-04-16,2020-04-20,1.0,2020-10-26,2020-03-20
71,2.0,3682.0,Gambia,GMB,120.0,2020-03-18,2020-03-27,2020-03-27,2020-05-18,,2020-08-06,,2020-03-23,,2020-06-09,2020-03-27,2347706.0,,,,35.65,56.48,35.65,2020-08-05,2020-03-24,2020-07-23,1.0,2020-11-11,2020-03-24
72,3.0,2937.0,Greece,GRC,179.0,2020-03-05,,2020-02-29,2020-03-18,,2020-03-23,2020-03-21,,2020-06-23,2020-05-30,2020-03-18,10716322.0,,,,74.07,40.74,65.74,2020-03-22,2020-03-12,2020-03-18,1.0,2020-06-04,2020-02-26
73,3.0,96369.0,Greece,GRC,1822.0,2020-03-05,,2020-02-29,2020-03-18,,2020-03-23,2020-03-21,,2020-06-23,2020-05-30,2020-03-18,10716322.0,,,,40.74,54.63,40.74,2020-06-20,2020-06-05,2020-06-16,2.0,2020-11-27,2020-06-04
74,2.0,56188.0,Guatemala,GTM,2196.0,2020-03-16,2020-03-17,2020-03-17,2020-03-22,2020-03-17,2020-03-22,2020-03-06,2020-04-18,,,2020-03-17,16604026.0,,,,96.3,52.78,93.52,2020-04-23,2020-03-16,2020-04-13,1.0,2020-08-09,2020-03-16
75,1.0,6733.0,Guam,GUM,110.0,2020-03-16,2020-03-20,2020-03-20,2020-03-20,2020-04-11,2020-08-15,,,2020-05-07,2020-06-02,2020-03-20,167294.0,,,,79.63,67.59,75.93,2020-08-28,2020-03-22,2020-04-12,1.0,2020-11-27,2020-03-22
76,2.0,4161.0,Guyana,GUY,123.0,2020-03-16,2020-03-28,2020-04-03,2020-04-03,,2020-04-03,2020-04-03,2020-03-27,,2020-03-12,2020-04-03,782766.0,,,,87.04,25.0,85.19,2020-05-06,2020-03-13,2020-04-07,1.0,2020-11-01,2020-03-13
77,2.0,65982.0,Honduras,HND,2057.0,2020-03-13,2020-03-20,2020-03-13,2020-03-16,2020-03-16,2020-03-16,2020-03-16,2020-03-21,,,2020-03-16,9746117.0,,,,100.0,100.0,100.0,2020-04-01,2020-03-27,2020-03-31,1.0,2020-09-12,2020-03-27
78,3.0,2247.0,Croatia,HRV,104.0,2020-03-13,2020-03-20,2020-03-10,2020-03-20,2020-03-21,2020-03-23,2020-03-23,2020-03-19,2020-05-04,2020-02-03,2020-03-20,4067500.0,,,,96.3,96.3,96.3,2020-04-05,2020-03-25,2020-03-29,1.0,2020-06-07,2020-02-25
79,3.0,113379.0,Croatia,HRV,1448.0,2020-03-13,2020-03-20,2020-03-10,2020-03-20,2020-03-21,2020-03-23,2020-03-23,2020-03-19,2020-05-04,2020-02-03,2020-03-20,4067500.0,,,,49.07,50.93,54.63,2020-07-09,2020-06-10,2020-07-03,2.0,2020-11-27,2020-06-07
80,2.0,9033.0,Haiti,HTI,232.0,2020-03-19,2020-03-19,2020-03-19,2020-03-19,2020-04-06,2020-03-19,2020-03-19,2020-04-19,,,2020-03-19,11263077.0,,,,89.81,90.74,89.81,2020-05-05,2020-04-07,2020-04-24,1.0,2020-11-02,2020-04-06
81,3.0,4089.0,Hungary,HUN,572.0,2020-03-16,,2020-03-11,2020-11-10,,2020-03-27,2020-03-28,2020-03-16,,2020-01-28,2020-03-16,9769949.0,,,,67.59,67.59,67.59,2020-03-25,2020-03-16,2020-03-23,1.0,2020-06-22,2020-03-12
82,3.0,194338.0,Hungary,HUN,3792.0,2020-03-16,,2020-03-11,2020-11-10,,2020-03-27,2020-03-28,2020-03-16,,2020-01-28,2020-03-16,9769949.0,,,,54.63,54.63,54.63,2020-06-30,2020-06-23,2020-06-26,2.0,2020-11-27,2020-06-22
83,1.0,516719.0,Indonesia,IDN,16351.0,2020-02-03,2020-04-10,2020-03-03,2020-04-07,,2020-04-10,2020-04-24,2020-03-19,,,2020-04-07,270625568.0,,,,45.37,37.04,45.37,2020-03-20,2020-03-12,2020-03-16,1.0,2020-11-27,2020-03-12
84,1.0,9309712.0,India,IND,135714.0,2020-03-13,2020-03-21,2020-03-14,2020-03-19,2020-03-20,2020-03-22,2020-03-20,2020-03-22,2020-04-09,2020-01-31,2020-03-19,1366417754.0,,,,100.0,33.33,86.57,2020-03-26,2020-03-13,2020-03-23,1.0,2020-11-27,2020-03-13
85,4.0,25414.0,Ireland,IRL,1730.0,2020-03-13,2020-03-27,2020-03-12,2020-03-15,2020-03-27,2020-03-28,2020-03-28,,,2020-06-05,2020-03-27,4941444.0,,,,75.93,31.48,48.15,2020-03-27,2020-03-12,2020-03-24,1.0,2020-06-27,2020-02-29
86,4.0,46080.0,Ireland,IRL,306.0,2020-03-13,2020-03-27,2020-03-12,2020-03-15,2020-03-27,2020-03-28,2020-03-28,,,2020-06-05,2020-03-27,4941444.0,,,,38.89,38.89,38.89,2020-07-04,2020-06-28,2020-06-29,2.0,2020-11-27,2020-06-27
87,1.0,908344.0,Iran,IRN,46687.0,2020-03-05,2020-03-22,2020-02-22,2020-10-06,2020-10-26,2020-10-06,2020-03-05,,,2020-05-17,2020-04-05,82913906.0,,,,11.11,2.78,11.11,2020-02-25,2020-02-20,2020-02-23,1.0,2020-11-27,2020-02-20
88,1.0,544632.0,Iraq,IRQ,12123.0,2020-02-25,2020-03-17,2020-02-25,2020-02-25,2020-03-13,2020-03-13,2020-03-11,2020-03-17,,,2020-03-11,39309783.0,,,,89.81,52.78,52.78,2020-03-18,2020-03-06,2020-03-09,1.0,2020-11-27,2020-03-06
89,4.0,1806.0,Iceland,ISL,10.0,,,2020-03-16,2020-10-31,,,,,2020-03-13,2020-03-09,,361313.0,,,,53.7,53.7,53.7,2020-04-21,2020-03-20,2020-04-07,1.0,2020-06-07,2020-02-28
90,4.0,3425.0,Iceland,ISL,15.0,,,2020-03-16,2020-10-31,,,,,2020-03-13,2020-03-09,,361313.0,,,,52.78,37.04,52.78,2020-11-09,2020-10-17,2020-11-04,2.0,2020-11-20,2020-06-07
91,4.0,16690.0,Israel,ISR,279.0,2020-03-13,2020-04-01,2020-03-04,2020-03-15,,2020-03-20,2020-04-03,2020-03-12,2020-11-04,2020-03-17,2020-03-15,9053300.0,,,,81.48,81.48,81.48,2020-03-28,2020-03-21,2020-03-26,1.0,2020-05-24,2020-02-21
92,4.0,194907.0,Israel,ISR,1707.0,2020-03-13,2020-04-01,2020-03-04,2020-03-15,,2020-03-20,2020-04-03,2020-03-12,2020-11-04,2020-03-17,2020-03-15,9053300.0,,,,34.26,34.26,34.26,2020-09-06,2020-09-06,2020-09-06,2.0,2020-11-12,2020-09-05
93,3.0,241181.0,Italy,ITA,34833.0,2020-02-23,2020-02-22,2020-02-23,2020-02-23,2020-04-12,2020-02-23,2020-02-21,,,2020-01-31,2020-02-23,60297396.0,,,,69.91,69.91,69.91,2020-02-26,2020-02-23,2020-02-25,1.0,2020-07-04,2020-02-21
94,3.0,1268691.0,Italy,ITA,18017.0,2020-02-23,2020-02-22,2020-02-23,2020-02-23,2020-04-12,2020-02-23,2020-02-21,,,2020-01-31,2020-02-23,60297396.0,,,,55.56,55.56,55.56,2020-07-05,2020-07-05,2020-07-05,2.0,2020-11-27,2020-07-04
95,2.0,9560.0,Jamaica,JAM,224.0,2020-03-13,,2020-03-11,2020-03-25,,2020-03-13,2020-03-13,2020-03-21,,2020-08-25,2020-03-13,2948279.0,,,,76.85,75.0,80.56,2020-06-05,2020-03-25,2020-04-15,1.0,2020-11-12,2020-03-25
96,1.0,202786.0,Jordan,JOR,2508.0,2020-03-15,2020-03-18,2020-03-18,2020-03-18,2020-03-18,2020-03-18,2020-03-18,2020-03-15,,2020-07-16,2020-03-18,10101694.0,,,,48.15,100.0,100.0,2020-07-04,2020-03-29,2020-03-31,1.0,2020-11-27,2020-03-29
97,3.0,82985.0,Japan,JPN,1564.0,2020-03-02,,,,,,,,2020-11-17,2020-11-17,,126264931.0,,,,40.74,19.44,34.26,2020-03-11,2020-02-13,2020-03-01,1.0,2020-10-01,2020-02-12
98,3.0,56481.0,Japan,JPN,487.0,2020-03-02,,,,,,,,2020-11-17,2020-11-17,,126264931.0,,,,33.33,33.33,33.33,2020-10-02,2020-10-02,2020-10-02,2.0,2020-11-27,2020-10-01
