"COUNTRYCODE","CLASS","t","stringency_index"
"AGO",1,-43,75.93
"AGO",1,-42,75.93
"AGO",1,-41,75.93
"AGO",1,-40,75.93
"AGO",1,-39,75.93
"AGO",1,-38,75.93
"AGO",1,-37,75.93
"AGO",1,-36,75.93
"AGO",1,-35,75.93
"AGO",1,-34,75.93
"AGO",1,-33,75.93
"AGO",1,-32,75.93
"AGO",1,-31,75.93
"AGO",1,-30,75.93
"AGO",1,-29,75.93
"AGO",1,-28,75.93
"AGO",1,-27,75.93
"AGO",1,-26,75.93
"AGO",1,-25,75.93
"AGO",1,-24,75.93
"AGO",1,-23,75.93
"AGO",1,-22,76.39
"AGO",1,-21,76.39
"AGO",1,-20,76.39
"AGO",1,-19,76.39
"AGO",1,-18,76.39
"AGO",1,-17,76.39
"AGO",1,-16,76.39
"AGO",1,-15,76.39
"AGO",1,-14,76.39
"AGO",1,-13,76.39
"AGO",1,-12,76.39
"AGO",1,-11,76.39
"AGO",1,-10,76.39
"AGO",1,-9,76.39
"AGO",1,-8,76.39
"AGO",1,-7,76.39
"AGO",1,-6,76.39
"AGO",1,-5,76.39
"AGO",1,-4,76.39
"AGO",1,-3,76.39
"AGO",1,-2,76.39
"AGO",1,-1,79.17
"AGO",1,0,79.17
"AGO",1,1,79.17
"AGO",1,2,79.17
"AGO",1,3,79.17
"AGO",1,4,79.17
"AGO",1,5,79.17
"AGO",1,6,79.17
"AGO",1,7,79.17
"AGO",1,8,79.17
"AGO",1,9,79.17
"AGO",1,10,79.17
"AGO",1,11,79.17
"AGO",1,12,79.17
"AGO",1,13,79.17
"AGO",1,14,79.17
"AGO",1,15,79.17
"AGO",1,16,79.17
"AGO",1,17,79.17
"AGO",1,18,79.17
"AGO",1,19,79.17
"AGO",1,20,79.17
"ALB",1,-78,36.11
"ALB",1,-77,41.67
"ALB",1,-76,51.85
"ALB",1,-75,51.85
"ALB",1,-74,78.7
"ALB",1,-73,78.7
"ALB",1,-72,81.48
"ALB",1,-71,81.48
"ALB",1,-70,81.48
"ALB",1,-69,81.48
"ALB",1,-68,81.48
"ALB",1,-67,81.48
"ALB",1,-66,81.48
"ALB",1,-65,81.48
