,COUNTRYCODE,COUNTRY,GOV_MAX_SI_DAYS_FROM_T0,CLASS_COARSE,POPULATION,EPI_CONFIRMED,EPI_CONFIRMED_PER_10K,EPI_DEAD,EPI_DEAD_PER_10K,T0_POP,T0_1_DEAD,T0_5_DEAD,T0_10_DEAD,EPI_DURATION_FIRST_WAVE,MAX_SI,DEAD_FIRST_WAVE,DEAD_SECOND_WAVE,DEAD_PEAK_1,DEAD_PEAK_2,C1_SCHOOL_CLOSING_AT_T0,C2_WORKPLACE_CLOSING_AT_T0,C3_CANCEL_PUBLIC_EVENTS_AT_T0,C4_RESTRICTIONS_ON_GATHERINGS_AT_T0,C5_CLOSE_PUBLIC_TRANSPORT_AT_T0,C6_STAY_AT_HOME_REQUIREMENTS_AT_T0,C7_RESTRICTIONS_ON_INTERNAL_MOVEMENT_AT_T0,C8_INTERNATIONAL_TRAVEL_CONTROLS_AT_T0,H2_TESTING_POLICY_AT_T0,H3_CONTACT_TRACING_AT_T0,SI_AT_T0,C1_SCHOOL_CLOSING_AT_PEAK_1,C2_WORKPLACE_CLOSING_AT_PEAK_1,C3_CANCEL_PUBLIC_EVENTS_AT_PEAK_1,C4_RESTRICTIONS_ON_GATHERINGS_AT_PEAK_1,C5_CLOSE_PUBLIC_TRANSPORT_AT_PEAK_1,C6_STAY_AT_HOME_REQUIREMENTS_AT_PEAK_1,C7_RESTRICTIONS_ON_INTERNAL_MOVEMENT_AT_PEAK_1,C8_INTERNATIONAL_TRAVEL_CONTROLS_AT_PEAK_1,H2_TESTING_POLICY_AT_PEAK_1,H3_CONTACT_TRACING_AT_PEAK_1,SI_AT_PEAK_1,C1_SCHOOL_CLOSING_DAYS_TO_THRESHOLD,C2_WORKPLACE_CLOSING_DAYS_TO_THRESHOLD,C3_CANCEL_PUBLIC_EVENTS_DAYS_TO_THRESHOLD,C4_RESTRICTIONS_ON_GATHERINGS_DAYS_TO_THRESHOLD,C5_CLOSE_PUBLIC_TRANSPORT_DAYS_TO_THRESHOLD,C6_STAY_AT_HOME_REQUIREMENTS_DAYS_TO_THRESHOLD,C7_RESTRICTIONS_ON_INTERNAL_MOVEMENT_DAYS_TO_THRESHOLD,C8_INTERNATIONAL_TRAVEL_CONTROLS_DAYS_TO_THRESHOLD,H2_TESTING_POLICY_DAYS_TO_THRESHOLD,H3_CONTACT_TRACING_DAYS_TO_THRESHOLD,SI_DAYS_TO_THRESHOLD,C1_SCHOOL_CLOSING_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C2_WORKPLACE_CLOSING_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C3_CANCEL_PUBLIC_EVENTS_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C4_RESTRICTIONS_ON_GATHERINGS_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C5_CLOSE_PUBLIC_TRANSPORT_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C6_STAY_AT_HOME_REQUIREMENTS_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C7_RESTRICTIONS_ON_INTERNAL_MOVEMENT_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C8_INTERNATIONAL_TRAVEL_CONTROLS_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,H2_TESTING_POLICY_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,H3_CONTACT_TRACING_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,SI_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,CLASS
67,FRO,Faroe Islands,,EPI_SECOND_WAVE,48678.0,490.0,100.66148979004889,0.0,0.0,2020-03-06,,,,123,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
68,GAB,Gabon,24,EPI_SECOND_WAVE,2172579.0,8919.0,41.05259233381157,54.0,0.24855252674356146,2020-04-01,2020-03-21,2020-05-03,2020-05-15,120,81.48,46.0,8.0,1.0752842747307465,0.21669961317147257,3.0,2.0,2.0,4.0,1.0,1.0,0.0,4.0,2.0,0.0,66.67,0.0,2.0,2.0,4.0,1.0,1.0,2.0,4.0,3.0,2.0,69.44,-5,22,-8,-1,,20,20,-1,34.0,9.0,-1,91.0,15.0,121.0,114.0,0.0,31.0,93.0,103.0,79.0,104.0,114,4
69,GBR,United Kingdom,16,EPI_FIRST_WAVE,66834405.0,830998.0,124.3368591371465,44571.0,6.668870621351384,2020-03-08,2020-03-07,2020-03-11,2020-03-14,,79.63,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.11,,,,,,,,,,,,13,14,14,16,,16,16,,,86.0,16,,,,,,,,,,,,1
70,GEO,Georgia,-6,EPI_FIRST_WAVE,3720382.0,24562.0,66.02010223681332,183.0,0.49188497310222445,2020-03-11,2020-04-06,2020-04-23,2020-05-09,,100.0,,,,,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,2.0,100.0,,,,,,,,,,,,-35,-18,-36,-16,-14.0,-14,-15,-19,,-40.0,-18,,,,,,,,,,,,1
71,GGY,Guernsey,,EPI_FIRST_WAVE,,265.0,,13.0,,,2020-04-04,2020-04-09,2020-04-21,53,,13.0,,0.4025067656518718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
72,GHA,Ghana,8,EPI_FIRST_WAVE,30417856.0,47601.0,15.64903193703067,314.0,0.10322884032326275,2020-04-02,2020-03-22,2020-03-29,2020-04-25,212,86.11,306.0,,2.565973390709716,,3.0,0.0,2.0,3.0,0.0,0.0,0.0,4.0,3.0,2.0,52.78,2.0,1.0,2.0,3.0,0.0,0.0,0.0,4.0,3.0,2.0,52.78,-6,8,-6,,8.0,8,8,0,-1.0,-10.0,8,98.0,21.0,210.0,0.0,21.0,20.0,20.0,163.0,205.0,213.0,57,2
73,GIB,Gibraltar,,,33701.0,641.0,190.2020711551586,0.0,0.0,2020-03-20,,,,,79.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
74,GIN,Guinea,-17,EPI_SECOND_WAVE,12771246.0,11635.0,9.110309205538755,71.0,0.05559363589112605,2020-04-05,2020-04-16,2020-04-20,2020-05-06,108,78.7,31.0,35.0,0.5752602970848127,0.3449377196129817,3.0,2.0,2.0,3.0,1.0,2.0,2.0,4.0,2.0,1.0,78.7,3.0,2.0,2.0,3.0,1.0,2.0,2.0,4.0,2.0,1.0,78.7,-20,,-20,,,-17,-20,-20,,,-20,96.0,0.0,96.0,0.0,0.0,77.0,80.0,80.0,0.0,0.0,80,4
75,GMB,Gambia,3,EPI_FIRST_WAVE,2347706.0,3659.0,15.58542679534831,119.0,0.5068777777115192,2020-05-01,2020-03-24,2020-07-23,2020-08-05,214,78.7,118.0,,4.012676330887323,,3.0,0.0,1.0,3.0,0.0,1.0,1.0,4.0,2.0,1.0,56.48,2.0,2.0,2.0,4.0,1.0,2.0,1.0,4.0,2.0,2.0,77.78,-6,3,3,55,,135,,-1,,77.0,3,153.0,60.0,186.0,149.0,0.0,69.0,0.0,204.0,0.0,127.0,181,2
76,GNB,Guinea-Bissau,,EPI_FIRST_WAVE,1920922.0,2403.0,12.509617777296528,41.0,0.21343917139790164,2020-04-04,2020-04-27,2020-05-20,2020-06-06,196,,41.0,,0.17376442253562097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
77,GNQ,Equatorial Guinea,,EPI_SECOND_WAVE,1355986.0,5079.0,37.456138927688045,83.0,0.6121007149041362,2020-03-24,2020-04-24,2020-05-14,2020-05-22,109,,51.0,32.0,1.4478033126236955,1.9732815192404587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
78,GRC,Greece,11,EPI_FIRST_WAVE,10716322.0,29057.0,27.114713424997866,559.0,0.5216341950157899,2020-03-08,2020-03-12,2020-03-18,2020-03-22,,84.26,,,,,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.74,,,,,,,,,,,,-7,,-12,6,,11,9,,103.0,79.0,6,,,,,,,,,,,,1
79,GRD,Grenada,,,112003.0,27.0,2.4106497147397836,0.0,0.0,2020-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
80,GRL,Greenland,,,56225.0,17.0,3.023566029346376,0.0,0.0,2020-03-20,,,,,77.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
81,GTM,Guatemala,33,EPI_FIRST_WAVE,16604026.0,103902.0,62.57638960574983,3594.0,2.1645352759625887,2020-04-09,2020-03-16,2020-04-13,2020-04-23,216,96.3,3478.0,,37.168571059920936,,3.0,0.0,1.0,3.0,0.0,0.0,2.0,3.0,1.0,0.0,52.78,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,0.0,96.3,0,1,1,6,1.0,6,-10,33,,,1,199.0,132.0,198.0,206.0,132.0,193.0,187.0,153.0,0.0,0.0,198,2
82,GUM,Guam,151,EPI_SECOND_WAVE,167294.0,4141.0,247.5283034657549,69.0,4.124475474314679,2020-03-19,2020-03-22,2020-04-12,2020-08-28,181,79.63,33.0,,0.5103805485978317,,3.0,3.0,2.0,4.0,0.0,1.0,0.0,3.0,1.0,0.0,67.59,3.0,3.0,2.0,4.0,1.0,2.0,1.0,2.0,3.0,2.0,79.63,-6,-2,-2,-2,20.0,146,,,46.0,72.0,-2,182.0,80.0,182.0,103.0,17.0,36.0,0.0,0.0,136.0,110.0,182,3
83,GUY,Guyana,27,EPI_FIRST_WAVE,782766.0,3960.0,50.58983144387978,117.0,1.4946995653873572,2020-03-16,2020-03-13,2020-04-07,2020-05-06,221,87.04,110.0,,1.570394551924043,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,25.0,3.0,1.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,2.0,79.17,3,15,21,21,,21,21,14,,-1.0,21,119.0,12.0,194.0,181.0,0.0,178.0,181.0,201.0,0.0,215.0,182,2
84,HND,Honduras,-6,EPI_FIRST_WAVE,9746117.0,91882.0,94.27549453797856,2612.0,2.6800417027622387,2020-03-26,2020-03-27,2020-03-31,2020-04-01,190,100.0,2122.0,,19.09115069744533,,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,1.0,1.0,100.0,3.0,2.0,2.0,4.0,2.0,3.0,2.0,4.0,1.0,1.0,96.3,-14,-7,-14,-11,-11.0,-11,-11,-6,,,-11,190.0,80.0,190.0,187.0,187.0,187.0,187.0,149.0,0.0,0.0,187,2
85,HRV,Croatia,-2,EPI_FIRST_WAVE,4067500.0,31717.0,77.97664413030117,413.0,1.0153657037492316,2020-03-13,2020-03-25,2020-03-29,2020-04-05,,96.3,,,,,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,96.3,,,,,,,,,,,,-12,-5,-15,-5,-4.0,-2,-2,-6,40.0,-51.0,-5,,,,,,,,,,,,1
86,HTI,Haiti,12,EPI_FIRST_WAVE,11263077.0,9015.0,8.004029449501234,231.0,0.20509493098555573,2020-04-21,2020-04-07,2020-04-24,2020-05-05,206,93.52,230.0,,2.0235663550818153,,3.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,0.0,90.74,3.0,1.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,1.0,80.56,-19,-19,-19,-19,-1.0,-19,-19,12,,,-19,143.0,31.0,144.0,96.0,57.0,144.0,122.0,72.0,0.0,0.0,122,2
87,HUN,Hungary,12,EPI_FIRST_WAVE,9769949.0,56098.0,57.418928184783766,1390.0,1.4227300470043396,2020-03-17,2020-03-16,2020-03-23,2020-03-25,,76.85,,,,,3.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,67.59,,,,,,,,,,,,-5,,-5,,,11,12,0,,-48.0,0,,,,,,,,,,,,1
88,IDN,Indonesia,43,EPI_FIRST_WAVE,270625568.0,381910.0,14.112118186852175,13077.0,0.483213766409536,2020-03-31,2020-03-12,2020-03-16,2020-03-20,,80.09,,,,,3.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,37.04,,,,,,,,,,,,-38,29,-9,26,,29,43,7,,,26,,,,,,,,,,,,1
89,IMN,Isle of Man,,EPI_FIRST_WAVE,84584.0,348.0,41.142532866736026,24.0,2.8374160597748985,2020-03-21,2020-04-03,2020-04-19,2020-04-22,79,,24.0,,0.30917518223136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
90,IND,India,9,EPI_FIRST_WAVE,1366417754.0,7814682.0,57.19101626953831,117956.0,0.8632499076852598,2020-04-11,2020-03-13,2020-03-23,2020-03-26,229,100.0,117956.0,,1145.634566543965,,3.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,33.33,3.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,2.0,81.02,0,8,1,6,7.0,9,7,9,27.0,-42.0,6,192.0,30.0,214.0,150.0,103.0,206.0,208.0,162.0,75.0,219.0,195,2
91,IRL,Ireland,25,EPI_SECOND_WAVE,4941444.0,55261.0,111.8316832083901,1878.0,3.8005085153246703,2020-03-10,2020-03-12,2020-03-24,2020-03-27,116,90.74,1720.0,,40.40803940811824,,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,31.48,3.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,90.74,1,15,0,3,15.0,16,16,,,85.0,15,104.0,52.0,105.0,102.0,70.0,51.0,89.0,0.0,0.0,20.0,90,3
92,IRN,Iran,162,EPI_SECOND_WAVE,82913906.0,556891.0,67.1649698905754,31985.0,3.8576158744710445,2020-03-01,2020-02-20,2020-02-23,2020-02-25,77,61.57,5877.0,,137.79703550165146,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,3.0,3.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,57.41,14,31,2,,,,14,,,87.0,45,56.0,20.0,68.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,6,3
93,IRQ,Iraq,20,EPI_FIRST_WAVE,39309783.0,445949.0,113.44478803151877,10513.0,2.674397871898708,2020-03-22,2020-03-06,2020-03-09,2020-03-18,,96.3,,,,,3.0,0.0,2.0,4.0,0.0,0.0,0.0,3.0,1.0,1.0,52.78,,,,,,,,,,,,-10,11,-10,-10,7.0,7,5,11,,,5,,,,,,,,,,,,1
94,ISL,Iceland,0,EPI_SECOND_WAVE,361313.0,4308.0,119.2318017895841,11.0,0.3044451763429492,2020-03-02,2020-03-20,2020-04-07,2020-04-21,76,53.7,10.0,1.0,0.23714193617936877,0.04794817944061539,2.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0,3.0,2.0,53.7,2.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0,3.0,2.0,53.7,,,-4,,,,,,-7.0,-11.0,,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,55.0,59.0,0,4
95,ISR,Israel,18,EPI_FIRST_WAVE,9053300.0,308840.0,341.13527663945746,2329.0,2.572542608772492,2020-03-10,2020-03-21,2020-03-26,2020-03-28,237,94.44,2329.0,,31.69681747715291,,3.0,2.0,2.0,4.0,1.0,2.0,1.0,4.0,1.0,2.0,81.48,3.0,3.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,85.19,-8,11,-17,-6,,-1,13,-9,,-4.0,-6,77.0,44.0,182.0,77.0,0.0,146.0,132.0,157.0,0.0,92.0,149,2
96,ITA,Italy,49,EPI_SECOND_WAVE,60297396.0,484869.0,80.41292529448535,37059.0,6.146036555210444,2020-02-26,2020-02-23,2020-02-25,2020-02-26,145,93.52,34938.0,,710.7402349517968,,3.0,3.0,2.0,4.0,0.0,2.0,2.0,3.0,1.0,2.0,69.91,3.0,3.0,2.0,4.0,1.0,3.0,2.0,3.0,2.0,2.0,91.67,0,-1,0,0,49.0,0,-2,,,-23.0,0,140.0,72.0,140.0,85.0,22.0,71.0,88.0,0.0,0.0,146.0,100,3
97,JAM,Jamaica,28,EPI_FIRST_WAVE,2948279.0,8638.0,29.298448349019885,182.0,0.6173092845012293,2020-03-19,2020-03-25,2020-04-15,2020-06-05,215,87.04,182.0,,3.5283203023795373,,3.0,2.0,2.0,4.0,0.0,1.0,2.0,4.0,1.0,1.0,75.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,78.7,-12,,-14,0,,-12,-12,-4,,153.0,-12,142.0,0.0,205.0,67.0,0.0,198.0,205.0,84.0,0.0,50.0,204,2
98,JEY,Jersey,,EPI_SECOND_WAVE,,530.0,,32.0,,,2020-03-27,2020-04-16,2020-04-17,98,,31.0,,0.2909926535072327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
99,JOR,Jordan,-11,EPI_FIRST_WAVE,10101694.0,48930.0,48.437420496007896,508.0,0.5028859516037607,2020-03-19,2020-03-29,2020-03-31,2020-07-04,,100.0,,,,,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,1.0,100.0,,,,,,,,,,,,-14,-11,-11,-11,-11.0,-11,-11,-14,,109.0,-11,,,,,,,,,,,,1
100,JPN,Japan,63,EPI_SECOND_WAVE,126264931.0,95835.0,7.589993455902653,1706.0,0.13511273371701285,2020-03-13,2020-02-13,2020-03-01,2020-03-11,148,47.22,858.0,650.0,11.059805271995147,5.045477984302405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,19.44,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,45.37,18,,,,,,,,,,,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4
101,KAZ,Kazakhstan,0,EPI_FIRST_WAVE,18513930.0,146982.0,79.38995124211877,2189.0,1.1823529634172756,2020-03-27,2020-03-30,2020-04-06,2020-04-11,201,89.35,2082.0,,8.995894988998492,,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,1.0,2.0,89.35,2.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,3.0,2.0,80.09,-14,0,-18,-11,-11.0,-11,-12,-14,32.0,-6.0,-11,77.0,51.0,202.0,198.0,136.0,155.0,168.0,137.0,151.0,185.0,198,2
102,KEN,Kenya,10,EPI_SECOND_WAVE,52573973.0,47843.0,9.100130210817433,884.0,0.1681440358330918,2020-04-20,2020-03-27,2020-04-08,2020-04-16,186,88.89,624.0,,9.81109986108114,,3.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,1.0,1.0,87.04,3.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,3.0,1.0,73.15,-12,,-14,-14,,0,0,-10,38.0,139.0,-10,170.0,0.0,187.0,132.0,0.0,158.0,118.0,137.0,136.0,35.0,184,3
103,KGZ,Kyrgyzstan,-8,EPI_SECOND_WAVE,6456900.0,55144.0,85.40321206771051,1130.0,1.7500658210596416,2020-03-25,2020-04-02,2020-04-10,2020-05-03,176,92.13,1063.0,,71.48941118186596,,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,1.0,1.0,92.13,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,1.0,76.39,-17,-8,-21,-8,-8.0,-8,-8,-16,,,-16,166.0,36.0,177.0,171.0,171.0,171.0,171.0,122.0,0.0,0.0,177,3
104,KHM,Cambodia,,EPI_SECOND_WAVE,16486542.0,287.0,0.17408138104400547,0.0,0.0,2020-03-23,,,,62,68.52,0.0,,0.0,,,,,,,,,,,,,3.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0,1.0,1.0,46.3,,,,,,,,,,,,50.0,0.0,50.0,40.0,0.0,0.0,8.0,0.0,0.0,0.0,9,3
105,KNA,Saint Kitts and Nevis,,,52823.0,19.0,3.5969180092005377,0.0,0.0,2020-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
106,KOR,South Korea,45,EPI_SECOND_WAVE,51709098.0,25775.0,4.984616053445759,457.0,0.08837903148107515,2020-02-22,2020-02-21,2020-02-23,2020-02-26,85,82.41,246.0,175.0,3.16317663340579,1.3475349165025574,3.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,3.0,2.0,45.37,3.0,1.0,2.0,2.0,0.0,1.0,1.0,3.0,3.0,2.0,55.56,-15,45,0,43,,29,29,,-14.0,-10.0,29,84.0,14.0,59.0,16.0,0.0,28.0,28.0,0.0,83.0,79.0,30,4
107,KWT,Kuwait,35,EPI_SECOND_WAVE,4207083.0,120232.0,285.78471116448145,740.0,1.7589384378677577,2020-02-27,2020-04-05,2020-04-18,2020-04-22,242,100.0,612.0,,7.137919552164609,,3.0,2.0,2.0,4.0,2.0,2.0,0.0,4.0,2.0,2.0,81.48,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,2.0,100.0,-35,1,-26,-25,-24.0,-14,1,-23,,-29.0,-25,216.0,55.0,207.0,128.0,138.0,128.0,161.0,141.0,0.0,210.0,206,3
108,LAO,Laos,,,7169455.0,24.0,0.0334753478472213,0.0,0.0,,,,,,96.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
109,LBN,Lebanon,7,EPI_FIRST_WAVE,6855713.0,68479.0,99.88603665293456,559.0,0.815378356707756,2020-03-10,2020-03-11,2020-03-27,2020-03-30,,85.19,,,,,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,37.96,,,,,,,,,,,,-11,7,7,7,,7,163,5,,,7,,,,,,,,,,,,1
110,LBR,Liberia,7,EPI_FIRST_WAVE,4937374.0,1393.0,2.8213378204689374,82.0,0.1660801875652928,2020-04-09,2020-04-05,2020-04-12,2020-04-26,193,87.96,82.0,,0.22936428640482007,,3.0,2.0,2.0,4.0,1.0,2.0,2.0,3.0,1.0,1.0,79.63,3.0,2.0,2.0,4.0,1.0,2.0,2.0,3.0,1.0,1.0,79.63,-19,7,-14,-14,,-15,-15,60,148.0,,-14,104.0,41.0,144.0,189.0,0.0,163.0,163.0,1.0,27.0,0.0,189,2
111,LBY,Libya,14,EPI_FIRST_WAVE,6777452.0,53384.0,78.7670646726823,774.0,1.1420221050624926,2020-04-15,2020-04-03,2020-05-29,2020-06-16,,100.0,,,,,3.0,1.0,2.0,4.0,2.0,3.0,2.0,4.0,1.0,1.0,90.74,,,,,,,,,,,,-19,13,-20,-12,-12.0,-12,-12,-18,,,-12,,,,,,,,,,,,1
112,LCA,Saint Lucia,,,182790.0,48.0,2.625964221237486,0.0,0.0,2020-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
113,LIE,Liechtenstein,,,38019.0,330.0,86.7987059102028,1.0,0.26302638154606905,2020-03-05,2020-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
114,LKA,Sri Lanka,-2,EPI_FIRST_WAVE,21803000.0,7153.0,3.280741182406091,14.0,0.006421134706233087,2020-03-29,2020-03-29,2020-04-05,2020-05-26,,100.0,,,,,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,1.0,2.0,100.0,,,,,,,,,,,,-11,-13,-15,-15,-6.0,-11,-11,-10,,-52.0,-13,,,,,,,,,,,,1
115,LSO,Lesotho,-103,EPI_SECOND_WAVE,2125268.0,1923.0,9.048270618105576,43.0,0.20232742411780538,2020-06-24,2020-07-10,2020-07-19,2020-07-27,80,90.74,31.0,11.0,0.9143597691728219,0.2670636627216978,0.0,1.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,54.63,2.0,2.0,2.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,71.3,-114,-103,-114,-114,,-114,-114,-103,,,-114,0.0,0.0,43.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,53,4
116,LTU,Lithuania,20,EPI_FIRST_WAVE,2786844.0,9104.0,32.66777760075555,126.0,0.45212433849903333,2020-03-16,2020-03-21,2020-03-28,2020-04-06,,87.04,,,,,3.0,3.0,2.0,4.0,1.0,1.0,1.0,4.0,1.0,0.0,81.48,,,,,,,,,,,,-8,-5,-9,-5,,,20,-5,,17.0,-5,,,,,,,,,,,,1
117,LUX,Luxembourg,3,EPI_SECOND_WAVE,619896.0,12851.0,207.3089679559152,141.0,2.2745750900150994,2020-03-08,2020-03-14,2020-03-21,2020-03-28,101,79.63,110.0,,2.099087485078422,,0.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0,2.0,42.59,3.0,3.0,2.0,4.0,1.0,2.0,2.0,0.0,1.0,2.0,79.63,2,2,-1,-1,,3,1,,58.0,-13.0,2,56.0,56.0,73.0,59.0,0.0,34.0,36.0,0.0,28.0,99.0,56,3
118,LVA,Latvia,-8,EPI_FIRST_WAVE,1912789.0,4208.0,21.999290041923075,50.0,0.26139840829281225,2020-03-12,2020-04-04,2020-04-13,2020-04-23,,65.74,,,,,2.0,2.0,2.0,3.0,1.0,1.0,0.0,4.0,1.0,1.0,65.74,,,,,,,,,,,,,,-22,,,,,-18,67.0,53.0,-11,,,,,,,,,,,,1
119,MAR,Morocco,13,EPI_FIRST_WAVE,36471769.0,190416.0,52.209148396393935,3205.0,0.8787618719563617,2020-03-26,2020-03-12,2020-03-25,2020-03-27,,93.52,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.56,,,,,,,,,,,,4,8,2,,8.0,8,1,8,91.0,,8,,,,,,,,,,,,1
120,MCO,Monaco,,,38964.0,295.0,75.71091263730624,1.0,0.256647161482394,2020-02-29,2020-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
121,MDA,Moldova,5,EPI_FIRST_WAVE,2657637.0,70256.0,264.3551395468982,1655.0,6.227336539941309,2020-03-15,2020-03-19,2020-04-02,2020-04-05,,87.04,,,,,3.0,2.0,2.0,3.0,0.0,0.0,0.0,4.0,1.0,1.0,54.63,,,,,,,,,,,,-8,,-9,2,4.0,5,5,-2,,42.0,4,,,,,,,,,,,,1
122,MDG,Madagascar,-43,EPI_FIRST_WAVE,26969307.0,16810.0,6.23301147485918,238.0,0.08824846704440718,2020-05-02,2020-05-18,2020-05-30,2020-06-11,183,95.37,238.0,,3.6440787103128582,,3.0,2.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,1.0,70.37,3.0,2.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,1.0,68.98,-58,-43,-58,,-58.0,-56,-58,-59,,,-58,119.0,0.0,164.0,0.0,6.0,94.0,173.0,160.0,0.0,0.0,129,2
123,MDV,Maldives,,EPI_FIRST_WAVE,530953.0,11391.0,214.5387633180338,37.0,0.6968601740643711,2020-03-09,2020-05-01,2020-05-27,2020-07-03,204,,37.0,,0.42497509341054895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
124,MEX,Mexico,9,EPI_FIRST_WAVE,127575529.0,880775.0,69.03949424344539,88312.0,6.922330692432402,2020-03-20,2020-03-21,2020-03-25,2020-03-28,230,82.41,83945.0,,604.0672458387767,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,8.33,3.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0,1.0,70.83,2,5,3,,,9,9,,,,5,205.0,111.0,204.0,0.0,0.0,191.0,198.0,0.0,0.0,0.0,197,2
