,countrycode,date,genuine,manual_genuine,number,series_index,value,class,manual_class
165,TUR,2020-06-24,False,False,2,104.0,1328.727290521048,2,2
166,UKR,2020-06-27,False,False,2,115.0,833.1267849689002,1,1
167,UKR,2020-05-03,False,False,1,60.0,475.7733357155018,1,1
168,USA,2020-07-21,True,True,3,203.0,66271.03739266889,4,4
169,USA,2020-04-14,True,True,2,105.0,30520.291219213654,4,4
170,UZB,2020-08-05,True,True,2,142.0,708.7165487633863,3,2
171,UZB,2020-04-15,False,False,1,30.0,79.86062762855254,3,2
172,VEN,2020-08-15,False,False,1,153.0,975.5308612766237,1,1
173,WRD,2020-09-02,False,False,4,246.0,261423.34260063415,1,1
174,WRD,2020-08-07,False,False,3,220.0,259882.6933021894,1,1
175,WRD,2020-04-14,False,False,2,105.0,79013.47956758643,1,1
176,WRD,2020-02-10,False,False,1,41.0,3333.0211643069188,1,1
177,XKO,2020-08-01,True,True,2,140.0,212.80223897734564,2,4
178,ZAF,2020-07-18,True,True,2,134.0,12103.629492764625,2,2
179,ZAF,2020-03-28,False,False,1,22.0,83.09296983318004,2,2
180,ZMB,2020-08-02,True,True,2,136.0,248.54071235820555,2,2
181,ZWE,2020-08-01,True,True,1,133.0,153.7411696103289,3,2
